,file,risk measure,OHR,copula
95,1.csv,VaR q=0.01,1.1,Gumbel
96,1.csv,VaR q=0.01,0.8615234374999998,Plackett
97,1.csv,VaR q=0.01,0.5733398437499996,Gauss Mix Indep
98,1.csv,VaR q=0.01,0.83994140625,rotGumbel
99,1.csv,VaR q=0.01,0.6547161002175369,NIG
100,1.csv,VaR q=0.05,0.8452148437499998,Gaussian
101,1.csv,VaR q=0.05,0.7955078124999999,t_Copula
102,1.csv,VaR q=0.05,0.8031249999999999,t_Copula_Capped
103,1.csv,VaR q=0.05,0.7781249999999997,Clayton
104,1.csv,VaR q=0.05,0.95078125,Frank
105,1.csv,VaR q=0.05,0.8324218749999998,Gumbel
106,1.csv,VaR q=0.05,0.834765625,Plackett
107,1.csv,VaR q=0.05,0.7554687499999997,Gauss Mix Indep
108,1.csv,VaR q=0.05,0.8096679687499997,rotGumbel
109,1.csv,VaR q=0.05,0.7411646345615008,NIG
110,1.csv,Variance,1.05322265625,Gaussian
111,1.csv,Variance,0.930859375,t_Copula
112,1.csv,Variance,0.965625,t_Copula_Capped
113,1.csv,Variance,0.90126953125,Clayton
114,1.csv,Variance,1.0725585937500002,Frank
115,1.csv,Variance,0.9662109375,Gumbel
116,1.csv,Variance,1.0009765625,Plackett
117,1.csv,Variance,0.8859374999999999,Gauss Mix Indep
118,1.csv,Variance,1.0041015625,rotGumbel
119,1.csv,Variance,0.8840000036700516,NIG
120,10.csv,ERM k=10,0.9212890625,Gaussian
121,10.csv,ERM k=10,0.7856445312499999,t_Copula
122,10.csv,ERM k=10,0.8013671874999999,t_Copula_Capped
123,10.csv,ERM k=10,0.7242187499999997,Clayton
124,10.csv,ERM k=10,0.98154296875,Frank
125,10.csv,ERM k=10,0.8578124999999999,Gumbel
126,10.csv,ERM k=10,0.8733398437499998,Plackett
127,10.csv,ERM k=10,0.7377929687499998,Gauss Mix Indep
128,10.csv,ERM k=10,0.8068359374999998,rotGumbel
129,10.csv,ERM k=10,1.1315913819782284,NIG
130,10.csv,ES q=0.01,1.1741210937500006,Gaussian
131,10.csv,ES q=0.01,0.7620117187499997,t_Copula
132,10.csv,ES q=0.01,0.8221679687499999,t_Copula_Capped
