"Date","unhedged","unhedged","Variance","VaR 99%","VaR 95%","ES 99%","ES 95%","Spectral 10"
"2019-09-19",-0.011510918466140331,-0.008229011047559576,-0.003827235026306301,-0.003474058378178587,-0.0035899606236510007,-0.004624926207883689,-0.004104448695933257,-0.003544942111845729
"2019-09-18",-0.012133126276381146,0.001661645112510006,-0.013700551186320525,-0.013772946341529316,-0.01374918497271673,-0.013537151502096913,-0.01364374871623513,-0.013758413920556704
"2019-09-17",0.0145421854997743,0.029229580667708387,-0.013033204797594195,-0.014324335818248221,-0.013900390307874867,-0.010124824510478773,-0.012021261929244789,-0.01406503116854234
"2019-09-16",-0.008699909875545905,-0.0004490424131423695,-0.008278645598590225,-0.008259208762548105,-0.008265588078713833,-0.00832252212430984,-0.008293897320454493,-0.008263110320834767
"2019-09-13",-0.006819315272054948,-0.002484902363521928,-0.004497086454971066,-0.004390046915764721,-0.004425177065998589,-0.004738750957143214,-0.004581084946566023,-0.0044115322223253605
