coin,weight
0xbtc,1.8819939804412084e-06
1337,2.9762030239534627e-06
1sg,8.430849861836483e-07
1st,3.75876012682632e-05
1wo,2.196414611594271e-05
1x2,1.104282176190272e-06
42,3.3569111033750706e-06
a,4.189705543119919e-06
aac,4.3643525584606014e-06
abl,8.1744559400755e-06
abt,6.799372355675971e-05
abx,5.93305069547948e-07
abyss,1.0377452934228456e-05
acat,3.2040096093079615e-06
acm,4.010941498680894e-06
act,2.6726290357932127e-05
ad,2.602214733885742e-06
ada,0.005881296586095652
adb,1.1721262736753994e-06
adh,3.883428918310696e-07
adi,5.591142909721215e-07
adm,5.2777702207098895e-06
ads,5.784388914360308e-06
adt,1.122494072120493e-05
adx,3.897308870365227e-05
ae,0.00026499742933294544
aem,8.829558258516295e-07
aer,6.028422386439896e-07
aergo,1.7297902247136145e-05
agi,7.188236050849793e-05
aid,2.3642779892258766e-06
aidoc,8.11934654137549e-06
aion,0.00011457776615559358
ait,2.7068435117055353e-06
akro,5.320011038266437e-06
algo,0.0006779323749565749
alt,3.583261736565878e-07
alv,2.1847685148403877e-06
amb,1.3500647396313453e-05
amlt,1.13778319628153e-05
amm,3.6220683154621846e-07
amn,3.5858131404875618e-06
amp,8.248609981343179e-07
ampl,7.964951873147664e-06
ams,3.3877521202790684e-07
ankr,3.636931690592045e-05
anon,6.01579806768844e-07
ant,8.300628846932345e-05
aoa,9.363109176431612e-05
apis,1.0402451732001873e-05
apl,5.366180370645509e-05
appc,1.551389945616392e-05
arco,4.1718784068511513e-07
arct,4.2217472956113416e-07
ardr,0.00023418927066557154
ark,0.00012577836057942838
arm,1.5896661321301762e-06
arms,8.02367052422763e-07
arn,1.5092462591804826e-05
aro,7.108171290575591e-07
arq,3.955092131449141e-07
arrr,2.0735399632402847e-05
asafe,9.96601891883779e-07
ast,1.859501005947609e-05
at,9.990015770602903e-06
atl,5.115611418272746e-06
atn,5.095950200558035e-06
atom,0.004492713420197455
aur,1.7333748047087814e-06
auto,1.2806968007224336e-05
aux,1.097538631699177e-06
ava,2.2408248290718483e-05
axe,1.1093784351178782e-05
axel,8.618379464702163e-05
axpr,4.286477386715014e-06
b2b,4.5528910189308175e-05
baas,3.319807848980777e-05
ban,2.531637616266187e-06
banca,2.0269487546901794e-06
bat,0.001328485160304451
bax,5.163798159233157e-05
bbo,1.0023000108255337e-06
bbp,1.4116287904699474e-06
bbr,9.230737548220065e-06
bbtc,1.3527257131837102e-06
bc,3.813900439067522e-06
bcd,0.0003549508694951704
bcdn,6.229695053932796e-06
bch,0.019520456649633606
bcn,0.0002904765990425278
bco,7.125744540202831e-07
bcpt,1.4105313070195976e-05
bcv,3.956526981959087e-05
beam,0.0001431404020961255
becn,3.6179762383801197e-07
beet,5.59060297785681e-06
berry,4.3724543052619076e-07
bether,1.6831957186042246e-06
betr,5.564554575325323e-07
bez,9.101197630586643e-07
bgbp,4.857329461728475e-06
bgc,5.128740273478011e-07
bgg,4.0891642702792896e-06
bir,1.4646007170292896e-06
bird,1.206462133024726e-06
bis,7.914759586998043e-06
bitg,5.4048625721983335e-06
bix,5.667812541879677e-05
bkbt,8.368271725379278e-06
bkx,4.695549096564736e-06
blk,1.4608471265022359e-05
bloc,2.6809955735878732e-06
block,2.10843573419943e-05
bltg,4.2126042451226875e-07
blue,1.7424238109167052e-06
blur,1.4090070240112156e-06
bmx,1.1284266586939558e-05
bnana,2.379083359783834e-05
bnb,0.011648398961507336
bnk,6.787203047489883e-05
bnt,9.4411286452079e-05
bnty,1.1435928153430261e-06
boa,2.8951495890961792e-05
bob,1.758411589477331e-06
boli,4.751454942539326e-07
bolt,1.6009676385243437e-05
bomb,3.408131851888234e-06
bos,1.0857696904389079e-05
bouts,4.975965143454382e-07
box,6.13079627508893e-06
boxx,8.386152441111344e-07
bqqq,8.181300043164935e-06
brd,8.094665246057611e-05
brdg,4.961460937831212e-07
bro,8.050309566837749e-07
bsv,0.008952383600609482
btb,3.0399654845898965e-06
btc,0.6983848748633069
btcone,4.0043677799694493e-07
btcp,2.563704693101766e-06
btcs,6.661173041219042e-07
btcv,5.053105461392475e-07
btcz,3.6733129036055447e-06
btg,0.000520510458129558
btm,0.000598508467420969
btmx,0.0002012505420066015
bto,9.356718453261517e-06
btr,2.5217908376448947e-06
btt,0.00033154836027790915
btx,1.353134806422939e-05
burn,3.626838327749522e-07
burst,3.75286573673161e-05
buzz,8.201584219230254e-07
bxy,7.631405784742092e-06
bytz,1.1606523547846627e-05
bz,0.00011690437213014794
bze,1.2907210146204643e-06
bznt,1.0980354018789324e-05
c20,6.928537592877902e-05
c3w,1.0208013824517871e-05
cag,1.3073673857956776e-05
can,8.192666886272693e-06
capp,2.5581867079946103e-06
car,1.796364582340583e-06
card,3.45620389519259e-06
cato,9.500767457000061e-07
catt,2.4841753872194083e-06
cbix,1.3490116930953214e-06
ccx,2.9952656823040905e-06
cdai,8.498810248104319e-05
cdc,3.6977649432945582e-06
cdn,8.702815919522042e-07
cdt,2.9551027601795173e-05
cdzc,5.26166435648998e-07
cel,0.00013641256150655356
celr,7.98591529312517e-05
chat,5.8587281999876335e-06
chess,4.724292447353075e-07
chp,8.214426061765173e-06
chr,1.0267031174260466e-05
chx,9.319576409739758e-06
chz,0.00017396206848733866
civ,7.345259487879957e-07
clo,7.850588228552384e-06
cloak,5.812375580983877e-06
cmct,3.8341340935468e-06
cnn,1.368868067825518e-05
cnns,4.2606123694371875e-05
cnus,2.628023205678783e-06
cob,8.208124728290819e-07
cocos,6.365710146572068e-05
cofi,1.5855754612455876e-06
colx,1.2015150701049158e-05
coni,1.374145927657111e-05
cos,7.893938214554559e-05
coti,8.602058984331642e-06
cov,6.333431386701174e-06
cova,2.497275445595697e-06
coval,3.0719781668747586e-06
cp,6.250145504351594e-07
cpx,5.355626378909237e-06
cre,1.4857562986801462e-05
crea,3.6770073672639e-06
cred,7.819657419555657e-07
credit,1.2849396139440123e-06
credo,1.9986919755982613e-06
croat,4.982542369426031e-07
crpt,0.0001682175307823421
crw,4.920378390801986e-06
crypt,6.953583537114034e-07
cs,6.519936578270595e-05
cspn,3.947787651631078e-06
ctxc,2.3373756126140644e-05
cure,5.120611250543581e-06
cut,2.7286342688659224e-05
cv,6.8535776013597775e-06
cvn,3.338683540685931e-06
cvnt,1.6615490587739103e-05
cxo,6.458943713400667e-06
cyl,1.630004522789251e-06
czr,9.665897999801186e-06
dacc,1.047313572396631e-06
dag,9.746547132393644e-05
dagt,1.1855109470120219e-05
daps,1.727377335017724e-05
dash,0.002288019483078727
dat,5.407940169290505e-06
data,6.124333743049526e-05
datx,1.2959722576234622e-06
dav,5.964930250376044e-07
dax,5.096055257626794e-06
dbc,1.7401612816446763e-05
dbet,6.647923114112565e-07
dcn,4.805689929901124e-05
dcr,0.0010563706241486757
dct,6.425949735345985e-06
