coin,weight
$based,1.7469193043064496e-05
$rope,2.204080387222259e-06
0xbtc,1.4695028377692017e-06
1337,7.843122627104912e-07
1mt,2.873547020023806e-07
1up,2.328868362859449e-06
1wo,4.7442926758321475e-06
2key,1.6299308209966076e-06
2x2,2.8581386873262693e-08
404,2.47580821837368e-08
42,5.05400471987308e-06
a,3.9275496075451695e-07
aave,0.0014661782749209344
abet,6.802341747046956e-08
abl,8.79581211408807e-06
abs,4.4534238394723074e-08
abst,1.8280707942849155e-08
abt,1.6613478617131728e-05
abx,3.5332399101010877e-07
abyss,6.497109560481149e-06
ac,5.534432914397501e-07
acat,2.184967824515744e-06
aced,3.486391497887677e-07
acm,2.8912264610757853e-07
act,1.1905304039806791e-05
actp,1.3585556932751901e-08
ada,0.008051255003347356
adai,7.504716375750697e-05
adb,1.7498676393150374e-06
adel,3.668266708153212e-06
adi,1.585709291262964e-07
adm,2.115648604569017e-06
ads,3.0650470527448938e-06
adt,7.243325881818429e-07
adx,6.0825130054798014e-05
ae,8.667262492955098e-05
aem,2.093812775651944e-07
aer,1.420900590864726e-07
aergo,2.537803357215948e-05
aet,1.2445253929622155e-08
afu,7.724849717170675e-07
ag8,7.202091469370741e-07
aga,1.9408999509430343e-06
agi,0.0001031193255692474
ags,1.2350411764271338e-06
agu,1.7790240253422153e-08
aias,3.6648495954214214e-08
aib,1.774073481770426e-08
aid,9.689519632785632e-07
aidoc,2.0795335383170276e-06
aion,7.275959626521838e-05
ait,2.2392847414731555e-06
aitra,1.0214535506957638e-05
akro,4.217340283496878e-05
akt,2.241867785962095e-05
albt,1.3313032881718349e-05
aleph,1.6172043007931272e-05
alex,3.6124614011709776e-07
algo,0.000490632855929331
ali,1.9916711194245693e-07
alias,4.0394536139676236e-06
alink,0.0007183714258090001
almx,1.251292359537469e-07
alpha,4.516456240966647e-05
alt,3.405852430851886e-07
alv,2.3010623249881077e-07
amb,4.662206419830761e-06
amlt,4.374151017600967e-06
amm,2.803568326506813e-07
amn,3.6885166506363098e-06
ampl,0.0004189499049162506
amz,5.922406057100107e-07
anj,1.1508201567326312e-05
ankr,0.00010909724175866619
anon,7.260033430243595e-08
ant,0.0002463177332006394
aoa,1.7090953041217563e-05
apc,1.885243257896329e-08
apl,2.7765810530821777e-05
appc,6.113927301986454e-06
apr,2.7390613870168147e-07
ar,0.00021985622480718309
araw,1.6937954472633986e-08
arc,1.651910694491081e-07
arco,2.44299377523197e-07
ardr,0.00012231247548661776
arepa,7.019667138849739e-08
arg,6.706915898252519e-13
arion,2.3151672275551902e-07
ark,0.00011740414988752342
arm,6.242048078806513e-08
arms,2.3511975498383614e-07
arnx,6.6175235267995565e-06
aro,2.7862539242321394e-07
arpa,4.0548898415536375e-05
arq,1.8363121302337503e-07
arrr,3.50422979860335e-05
artis,2.2299561232304046e-07
asa,2.474012265397442e-08
asafe,4.966210165018369e-07
ast,3.6808007114363234e-05
atb,9.795058897754101e-08
atl,1.6648981648727824e-06
atn,1.979943176602069e-06
atom,0.002657202448035144
ats,1.5490698726674263e-08
atusd,0.00013923324436993745
audax,1.0144810079286061e-07
audio,1.8467139470292572e-05
aus,8.961915508146696e-09
ausdc,0.00031944379464174096
auto,5.105880883761366e-06
ava,6.345270044326299e-05
avt,3.3027029078554328e-06
axe,9.188821336880962e-07
axel,3.583630502139641e-05
axiav3,3.040540863218877e-07
axpr,2.7610279454108702e-06
b2b,2.4534604211205678e-05
baas,6.696629235553866e-06
bacon,1.285511364852498e-08
bal,0.0002518403744681284
ban,2.801350044936786e-06
banca,1.2200290337738977e-06
band,0.0002811214053976736
bart,4.5790414677031935e-06
bat,0.000673404875074867
bax,1.9769729001589235e-06
bbk,9.083598098914943e-07
bbo,2.5081520725852377e-07
bbp,4.2448477663704894e-07
bbr,2.2945712261572627e-06
bc,1.4673789689643335e-06
bcd,0.0002026570288051706
bcdn,7.886059574486316e-07
bcdt,3.5977925789796805e-06
bcf,1.6386247638143005e-07
bch,0.010858458021313968
bcn,5.6882453317066944e-05
bcpt,4.528701942850064e-06
bcv,3.5353268455467802e-06
bdcash,6.437200348316713e-09
bdg,6.818261245566569e-07
bds,1.6909236902684087e-10
beam,4.160129692690969e-05
becn,2.7928153362035956e-09
beet,5.783900946057972e-07
bel,3.313664735877198e-05
ben,1.2087209820238374e-07
bepro,2.251568544352936e-06
bern,1.0218892024267579e-07
berry,2.5043335967523916e-07
betr,2.574053149950598e-07
bez,5.444405160744164e-07
bgc,4.549700859860674e-07
bgg,1.0772904571731126e-06
bgtt,2.226264023776026e-07
bhc,6.198908731388939e-08
bind,4.729076435270088e-06
bip,1.2668187888460124e-05
bir,1.1658792757878012e-06
bird,9.868500566790912e-08
bis,6.443694077012136e-06
bitcny,1.3016677259053896e-05
bitg,3.2370193600473055e-06
bix,1.3731953887315403e-05
bkbt,4.941213869086777e-06
bkc,9.72668598955329e-09
blk,5.4630800917152915e-06
bloc,1.541473096115812e-07
block,1.8682214333412995e-05
bltg,1.2676749462420972e-06
blue,1.9267343521912963e-06
blur,2.6384479140215274e-07
blz,3.8223005249107494e-05
bm,2.2382512399260437e-08
bmx,8.046390369272098e-06
bnana,9.493844337745649e-05
bnb,0.00923278015402261
bnkr,1.0494918470204234e-05
bnsd,3.0232676121232024e-06
bnt,0.00013646473142005382
bnty,2.0447492886775377e-07
boat,2.6853342402800204e-08
bob,7.878559156561964e-07
bold,2.008410846735005e-08
boli,2.0411836089110572e-07
bolt,5.031914401884651e-06
bomb,1.1541543010775734e-06
bond,1.3049779299835676e-05
bonk,1.4167929983331058e-06
boom,2.0914876163060997e-06
boost,1.1691709757097624e-06
bor,1.0591769405560925e-05
bos,1.8975583434568243e-05
bot,2.3640131812560853e-05
bouts,8.175845215556044e-08
box,1.1115542198995119e-06
braz,1.3842269521740075e-07
brd,1.0349866418595093e-05
brdg,5.784738666405506e-07
bree,9.275532305278555e-07
bro,2.4502852480713813e-07
bsov,1.733235988755058e-07
bsty,2.731727177819123e-06
bsv,0.006751560505130237
bta,1.7622225708633657e-07
btb,3.313847461976414e-06
btc,0.6669473665045688
btc++,8.180621878037784e-07
btc2,2.2569615973411828e-05
btcn,3.773408409808953e-08
btcp,1.582679695561989e-06
btcred,5.981010533562966e-08
btcs,9.537625440603402e-07
btct,1.6077843667639348e-07
btcui,5.143735399537792e-09
btcv,5.43317121024674e-08
btcz,1.1667160581957461e-06
btdx,1.359930842197495e-07
btg,0.00031311052766297377
btm,0.00021840988765993473
btmx,7.364253524482735e-05
bto,1.444723313567169e-06
bts,0.00011558738303129784
btse,3.457491145598458e-05
btt,0.0004362393653327186
btw,2.535100891844472e-07
btx,7.81934580734652e-06
buck,8.7469728969278e-08
bugs,4.610282123083297e-08
buidl,4.692990497805694e-06
build,3.536225201803146e-06
bul,1.6370956951172105e-08
bunny,1.7411218872703577e-08
burn,2.840040131520677e-08
burst,8.132509173188814e-06
busd,0.001360235068267892
bwf,3.251794606781312e-05
bxc,5.591987090578787e-07
bxy,2.747596825638283e-06
bytz,1.121308854302567e-06
bz,2.5677233013096114e-05
bze,4.752368412877275e-14
bznt,5.897568935722704e-06
bzrx,5.921339575270659e-05
bzx,2.405495403724928e-07
c20,5.244616375193662e-05
cag,4.360527843001456e-06
cake,3.5824632965184696e-05
can,6.823958921469114e-06
candy,9.156108336930014e-08
cap,9.748975241893549e-06
card,5.340745863520498e-06
care,4.389608209846426e-08
cash2,1.8742730225218652e-07
cato,1.791706140383333e-07
catt,7.820665070928547e-07
cbat,2.0308160274090965e-05
cbc,1.5735483259385347e-07
cbix,4.784128372074604e-07
cbt,5.366326004302789e-06
cbx,2.0189420339071548e-07
cco,2.829446273519586e-08
ccx,1.745648486315748e-06
cdai,0.003386122261843987
cdc,1.1602663292718189e-06
cdt,9.457680947222338e-06
cdzc,7.970717672625201e-08
cel,0.0016287210064685207
celr,3.977943009996843e-05
cen,9.236857423915183e-08
cet,3.0596894838112794e-06
ceth,0.0012386060723452413
