coin,weight
0xbtc,3.977790153559492e-06
1337,2.5901850819057744e-06
1st,2.4016175093992563e-05
1up,2.0380540198681946e-06
1wo,2.5855826687197656e-05
1x2,1.818433481228863e-06
42,3.102359183382942e-06
a,2.793883396083745e-06
aac,5.663709156907018e-06
abl,5.185870595269894e-06
abt,5.671880685226302e-05
abx,5.087733650187442e-07
abyss,9.285775007526672e-06
acat,2.575729758534817e-06
acm,1.714091430274168e-06
act,2.3586203419492203e-05
ad,3.235247058914086e-06
ada,0.00680333196856484
adb,1.7267804247099958e-06
adh,5.68220468301355e-07
adi,3.6280941657793863e-07
adm,3.383755997799223e-06
ads,6.295236613420919e-06
adt,9.128378935113105e-06
adx,3.45087989576595e-05
adz,3.574073314272124e-07
ae,0.00026750848367224057
aem,5.847005319267131e-07
aergo,1.8405396236385504e-05
agi,6.641356678109596e-05
aid,2.1891286834302956e-06
aidoc,7.308144225107426e-06
aion,0.00018890531985871022
ait,2.472129114887771e-06
akro,7.629376248752927e-06
algo,0.0007722296719703728
alv,1.1569492203929681e-06
amb,1.0804361594703744e-05
amlt,9.356383734970169e-06
amm,3.3434470980956905e-07
amn,2.6569219853263863e-06
ampl,7.70583862503824e-06
ams,7.127927960031817e-07
ankr,3.0022338446659876e-05
anon,5.638285538362393e-07
ant,0.00010926494459108043
aoa,3.200581969107804e-05
apis,6.764186450983207e-06
apl,3.8370421459788e-05
appc,1.6105452517424918e-05
apr,3.585663870353181e-07
arct,3.216769450239342e-07
ardr,0.00022001634500829587
ark,0.00012056430851235183
arm,3.244935666009987e-07
arms,4.4764848553532464e-07
arn,1.1486672367954055e-05
aro,4.356254506456453e-07
arrr,2.791735612020935e-05
asafe,9.786125429916986e-07
ast,1.4901596418182232e-05
at,8.466497565920916e-06
atl,3.2530314485281722e-06
atn,3.966328102150411e-06
atom,0.0031564938322110746
aur,2.1773275535659194e-06
auto,7.7249326847373e-06
aux,9.662712017068816e-07
ava,1.5974243662545896e-05
axe,1.0396676163953218e-05
axel,5.0551516197489055e-05
axpr,3.3181174564612635e-06
b2b,3.462570227311821e-05
baas,1.379761577338874e-05
ban,2.288812269006647e-06
banca,1.8450206768967618e-06
band,2.1466606915242022e-05
bat,0.0013622200396557573
bax,2.8227892092437992e-05
bbo,1.097015888004958e-06
bbp,1.718191061900939e-06
bbr,9.292135406376692e-06
bc,2.4152216429838073e-06
bcd,0.0005274701069187358
bcdn,4.610440504927287e-06
bch,0.027278875304449283
bcn,0.0002910126272698958
bcpt,1.1356149196796176e-05
bcv,2.746882207966581e-05
bdg,1.642369138195357e-06
beam,0.00015460948960169054
becn,4.1664908433087735e-07
beet,4.474636416648313e-06
bepro,1.8724089870878519e-06
berry,2.96357568467653e-07
bether,7.601235572109555e-07
bez,6.4713873591184e-07
bgbp,3.3692997365824846e-06
bgc,4.754238773245234e-07
bgg,1.9136537161677246e-06
bir,1.1505330120394634e-06
bird,6.008495556416744e-07
bis,5.431724327940143e-06
bitg,8.823369503720757e-06
bix,6.747627815090606e-05
bkbt,8.3149057997834e-06
bkx,3.564151883757109e-06
