coin,weight
$based,6.1673561310718875e-06
0xbtc,1.721675220223041e-06
1inch,0.00018385826552493357
1up,8.70096904565359e-07
1wo,2.048298782359238e-06
2key,1.2541759447448399e-06
42,5.720923095372041e-06
aave,0.0023149326673586575
abl,3.747985293627718e-06
ablx,1.2722970003201628e-06
abt,1.0069594885001968e-05
abyss,4.1032494832059e-06
ac,1.6572785633122081e-06
acat,8.83698010013246e-07
ach,4.907423701370209e-06
act,5.93463541707954e-06
ad,1.1272399150350392e-06
ada,0.010287045132580767
adai,3.6893425993223654e-05
adel,1.1672846044100839e-06
adm,1.4782210630706004e-06
ads,2.0482913565174286e-06
adx,4.734876670613967e-05
ae,3.4098230549221625e-05
aergo,1.3802646080332311e-05
aga,1.271822771226888e-05
agi,7.221188821971045e-05
aion,4.037821679710704e-05
ait,2.3002704777990818e-06
aitra,1.3233914622223243e-05
akro,3.54729341116979e-05
akt,4.0668891680157924e-05
albt,6.332890456515711e-05
aleph,1.1924872479273405e-05
algo,0.0004299406924198101
alias,9.685863987981514e-07
alink,0.000353055877275579
alpa,9.454267305139257e-07
alpha,0.00013733235533948553
amb,2.5772317396028843e-06
amlt,2.5379987340493464e-06
amn,3.4729371123509827e-06
ampl,0.00030029403841342017
amz,1.2700516471877044e-06
anj,4.908068737845912e-06
ankr,6.820580180960939e-05
ant,0.00013400760011340516
aoa,7.808558080950126e-06
aog,1.0245750758558507e-05
api3,7.52258866097943e-05
apl,1.455409195480068e-05
appc,3.88462123961549e-06
apy,6.7482852973581134e-06
aqt,5.1360946248791e-06
arch,7.2986183232719285e-06
ardr,8.593144801518212e-05
ark,6.659646338165124e-05
arnx,9.339589906321604e-07
arpa,2.509625369797828e-05
arrr,3.5214640587031836e-05
asp,5.429926480979845e-06
ast,2.1572471470985912e-05
atn,9.441022733184532e-07
atom,0.001838315924941296
atri,3.7774342878749835e-05
atusd,6.850678856899722e-05
auc,4.604155571110413e-06
audio,3.094214178420558e-05
aur,1.1741677813099891e-06
ausdc,0.00015885838750578232
ava,5.084723997161829e-05
avt,2.1105496874030482e-06
axel,2.6780237055372173e-05
axis,2.709566199837297e-06
axn,2.3875187702610963e-05
axpr,1.6603705869074804e-06
axs,3.8101061660355986e-05
baas,4.776794491156338e-06
badger,3.216500739677727e-05
bal,0.00022490662999094104
ban,1.7664310119513763e-06
band,0.00020794147983650796
bart,2.5145342233257278e-06
bas,4.957384890532271e-05
base,2.840852619440998e-06
bat,0.00042005166418074855
bax,1.1199182269885435e-06
bc,1.1962871520455732e-06
bcd,0.00013482869557166337
bcdt,2.4604557621705033e-06
bch,0.008908566664885197
