coin,weight
dbix,1.242708519727293e-05
dcc,4.949693209013493e-05
dcn,0.00044649062722168764
dcr,0.0015438108058597796
dct,3.9201483057752096e-05
dcy,2.023329036802679e-06
ddd,0.0001715666808412574
deb,1.760268614203619e-05
dem,1.6979078584990752e-06
dent,0.000199166925879497
dero,6.229069280433918e-06
dev,3.296893343711803e-05
dgb,0.0013785950966289514
dgd,0.00037626531247100185
dgtx,0.00010765396837100026
dgx,1.1807035217712944e-05
dim,3.513270565655713e-05
dime,2.3027361035491723e-05
dlt,1.9340779529141986e-05
dmd,3.518379476361284e-05
dml,3.943114659482841e-06
dmt,3.616787190271591e-05
dna,1.4811458108605837e-05
dnt,6.329260863438243e-05
dock,3.6465463910229287e-05
doge,0.00321331478682826
dope,7.080975797312727e-06
dor,2.6792985294201804e-06
dov,1.7939018643041936e-05
dow,9.15482261990781e-06
dp,1.697715430953409e-06
dpn,5.277170966834839e-05
dpy,4.133914206714228e-05
drgn,0.00029072653009176545
drop,0.00039013156073163847
drpu,2.170221332886385e-06
drt,1.4836944379202507e-05
dta,6.98402434765045e-05
dtb,8.886065531830952e-05
dtx,2.7345772779443393e-06
dvc,3.841280258301717e-06
dws,2.5359552307367964e-05
dx,1.7782173775964474e-05
dxt,1.9916060115336913e-05
dyn,6.0051776989505225e-05
eac,1.3542759568319735e-05
earth,2.7621425055559904e-06
ebc,4.3664379151986114e-05
ebtc,2.7620066488430552e-06
eca,8.774742142694285e-05
ecc,4.101712578245052e-05
ecob,2.806556016786999e-05
ecom,1.421140784243719e-05
edg,0.00010477217071831796
edge,2.874349244919656e-05
edo,0.00013967016077884434
edr,0.0001565110991785993
edrc,1.6106987478148568e-06
efl,4.389875391772043e-06
efx,1.0535788289861677e-05
egt,3.0311330229825603e-05
eko,1.0555157348618638e-05
ekt,4.691497528037911e-05
ela,0.0002894511054008596
elec,3.57329556829469e-05
elf,0.0005048066613092434
elix,9.672858252352552e-06
ella,1.894944363879724e-06
ely,2.4161608174017544e-06
emc,0.0002477230700221499
emc2,6.777588056587542e-05
endov2,2.5383366585099457e-06
eng,0.00022499816786764927
engt,6.153017520749532e-06
enj,0.0001814893820010848
enrg,1.1247685219205841e-05
eos,0.024023069824142932
eosdac,8.96392164170491e-05
eql,2.3595394630787636e-06
eqli,3.4772113148203333e-06
eqt,4.382180196021923e-06
erc,7.844522155010232e-06
erg,4.568311726058246e-06
ero,2.2754277785000683e-05
esp,2.503887130941972e-06
estx,5.427760098384275e-06
etbs,5.3777914809463865e-06
etc,0.0057514278278516075
eth,0.11094547593439451
etk,1.7319559455529837e-05
etn,0.00034428319698344656
etp,0.0008769091385537357
eve,6.454004210424545e-06
evn,2.414144511994629e-05
evo,9.281595885418472e-06
evr,2.981618264559643e-05
evx,3.80760690120672e-05
excc,2.1657396142984374e-06
excl,5.602917998478929e-06
exmr,2.2024687188045474e-06
exp,1.9795883361389092e-05
exrn,1.5294507994499018e-05
exy,1.3232380480857435e-05
ezt,3.3077034734263027e-06
face,1.304035093756902e-05
fair,5.114334432779956e-05
fcn,3.7795972571958995e-06
fdx,5.555722217246962e-06
fdz,1.5998775351836458e-05
fgc,2.589676143711445e-06
fid,1.057582529524127e-05
fjc,2.3634988518283373e-06
flash,2.819750769054172e-05
fldc,9.433920170345259e-06
flixx,1.0958011566600087e-05
flo,2.5053142006020375e-05
fnd,2.3204723537822417e-06
fnkos,5.434997203635794e-05
food,8.469023985412845e-06
fork,1.1021078178980605e-05
fota,4.083861391018671e-05
foxt,1.96539487422107e-06
frc,2.64549795746675e-06
frd,5.023693389309592e-06
frec,7.369825755112817e-05
free,7.958206075468778e-06
fsbt,2.783360790081558e-06
fsn,0.00013494559373103556
ftc,5.07310581064059e-05
fti,3.619992079609471e-05
ftt,5.975746882644339e-06
ftx,3.888056951631706e-06
fuel,3.5392517515560254e-05
fun,0.00046002722887646244
fundz,2.8269098224588202e-06
fxt,9.389131219728004e-05
fyp,3.2857872910915957e-06
gam,2.1031776551594335e-05
game,6.0259185248367644e-05
gard,1.3610165558579787e-05
gas,0.0002932004730938199
gat,6.179880950678503e-06
gbyte,0.00019410557273838195
gcn,4.122233058627602e-06
gcr,0.0001161916052778849
gem,1.518206437070634e-05
gen,1.7891683023559697e-05
gene,9.9540965361531e-06
geo,1.0191309101255365e-05
get,2.4004041617238423e-05
getx,3.5702783234030985e-06
gic,3.991333174736427e-06
gin,4.352492570221346e-05
gla,6.211972855897833e-06
gmt,3.776833911178643e-06
gno,0.00014957852735462344
gnt,0.0006689519319273888
gnx,8.401890745912296e-05
