coin,weight
0xbtc,3.241610693937525e-06
1337,4.362432314601706e-06
1st,2.3937870800525175e-05
1wo,2.2493812988742034e-06
1x2,1.0149003995472264e-06
42,3.7559732696772368e-06
a,2.5985321057533038e-06
aac,1.599150039237396e-05
abet,1.1652114422014745e-06
abl,2.224486150888416e-05
ablx,2.2954264546643873e-06
abt,0.00013925462650141689
abx,1.1858142237589989e-06
abyss,3.078074827124917e-05
ac3,6.545504627418468e-06
acat,5.198907286010157e-06
acm,7.693705249954323e-07
acr,7.258248747955066e-07
act,5.9098915160790745e-05
ada,0.009837300288181913
adb,2.657670896942306e-06
adh,7.625436778693303e-07
adm,9.864942418087818e-06
ads,2.832383797737661e-05
adt,2.140087864132265e-05
adx,5.0657850878015215e-05
ae,0.0005023099479498803
aem,1.5563127672241693e-06
aergo,6.719972966785238e-05
agi,0.00010675007457800708
aid,7.584778760284117e-06
aidoc,8.697821574070594e-06
aion,0.00019529309700649434
ait,3.209942607576354e-06
ali,8.847936431155282e-06
alt,7.560722808095763e-07
alx,3.706788131919958e-06
amb,2.2522370493089603e-05
amlt,1.0608845318749574e-05
amn,4.578403044330117e-06
amp,6.005542934133254e-06
anon,1.809987383561869e-06
ant,7.414528742322837e-05
aoa,0.00042122046369928387
aph,1.3582220521657067e-06
apis,2.46348365497557e-05
apl,8.315094839606969e-05
appc,3.567151169104519e-05
arct,1.492589160534747e-06
ardr,0.0003735505360849021
arg,9.815319728054186e-07
ark,0.00027874748434814013
arn,3.374348963628048e-05
aro,1.144489818452118e-06
arrr,6.991707641223304e-05
ary,9.065030965169884e-07
ast,3.153516271738709e-05
at,8.970436889145086e-06
atb,1.9386116270747535e-06
atl,2.7635666480180145e-06
atn,1.7649871239276842e-05
atom,0.005296639785174222
aur,1.3029127532148597e-06
auto,4.247762879045784e-05
aux,1.4389009682019e-06
ava,1.8667972128785927e-05
avinoc,1.0598883803961774e-06
axe,7.39333763160492e-06
axpr,7.484912250626053e-06
b2b,4.73920453750938e-05
baas,1.5931170963294544e-05
ban,3.7018046085415095e-06
banca,4.831618545629248e-06
bat,0.0014763593160098023
baw,1.8325288626633578e-06
bax,1.5071037622544242e-05
bay,2.9241740240270993e-05
bbo,1.1939155390750745e-06
bbp,2.4808065471229123e-06
bbr,2.887121201023503e-05
bbtc,3.3266497800480503e-06
bc,2.3178797275762924e-05
bcd,0.0008405601917699778
bcdn,1.5723034983003238e-05
bch,0.026698499273612196
bcn,0.0006326830646149605
bco,8.394277092628042e-07
bcpt,2.4685298959718894e-05
bcv,3.7084574910328436e-05
bdg,3.044107802788984e-06
beam,9.272629468791161e-05
beat,6.14501402895689e-06
beet,5.887028771679359e-06
berry,9.05480662783827e-07
bether,1.7396522724675204e-06
betr,9.152022748069504e-07
bez,6.209475034698347e-06
bgg,5.799458798276431e-06
bir,2.3334809519848823e-06
bis,1.1288834062977493e-05
bitbtc,1.2044055533161383e-06
bitg,1.5716713775786936e-05
bix,0.00011285372848944631
bkbt,1.4132922351618747e-05
bkx,6.4558908705206386e-06
blk,1.9485144563931786e-05
block,5.185461818880253e-05
bltg,7.750049041494367e-07
blue,2.8478855027898853e-06
bmx,1.1910662412266996e-05
bnana,1.6604815639548925e-05
bnb,0.016895290844160245
bnk,0.00010447300188079637
bnt,0.0001703454212774389
bnty,3.0473521543032383e-06
bob,1.5320141671615283e-06
bolt,2.733825237406444e-05
bomb,2.0170857467828883e-05
bos,3.504899658616683e-05
bot,6.339921598712289e-06
box,1.320749868881908e-05
boxx,7.530921402887698e-06
brd,8.937355048179747e-05
brdg,7.500625103814193e-07
bro,8.661624684286627e-07
bsv,0.013273672745735422
btc,0.5878834512752147
btcp,7.303396748239191e-06
btcs,1.524243752896786e-06
btcz,4.123182917963031e-06
btg,0.001706610681065794
bti,9.06869107882585e-07
btk,9.517749115446862e-07
btm,0.0008616368883782541
bto,2.0963009199662007e-05
btr,2.6467249467366913e-06
btt,0.000998580357202582
btx,5.421433836616141e-05
btxc,1.3419881795707772e-06
burst,3.721185802741945e-05
buzz,2.2329867616802528e-06
bytz,9.475249246981276e-06
bz,7.561628873841763e-05
bze,2.521962436378122e-06
bznt,3.475674199633965e-05
c20,9.466291540432342e-05
c3w,2.3219107297357467e-05
cag,1.1596590239554205e-05
cai,4.721448044527907e-06
can,7.72812483243398e-06
capp,7.5502723929338515e-06
car,3.41615563211599e-06
carbon,1.3114394033959133e-06
card,7.710963115087764e-06
cbc,1.219551997939256e-06
cbx,1.2967692553899312e-06
ccx,1.8760476898396096e-06
cdc,7.2452761937776485e-06
cdn,1.489054723694969e-06
cdt,3.168471679541716e-05
cdzc,1.584163056719063e-06
celr,0.0001824402098417175
chat,1.4652499017017188e-05
chc,1.8469095760812153e-06
che,1.127221705471277e-05
chess,3.479428807303023e-06
chp,8.480743925575196e-06
chr,1.3254488777831272e-05
chx,3.615597647341947e-05
cic,5.1024836278682535e-06
clam,5.897951901199946e-05
cln,3.1832213742985487e-06
cloak,1.2751222649866368e-05
cmct,9.593281303884503e-06
cnn,3.944441238908178e-05
cno,1.6896842943159002e-06
cnus,4.717717742824572e-05
cob,7.16003879686348e-06
cofi,4.059658355981366e-06
colx,1.4263674917351089e-05
coni,2.3775828654734354e-05
cosm,6.510609637204699e-05
