,Variance,ES q=0.05,ES q=0.01,VaR q=0.05,VaR q=0.01,ERM k=10
Clayton,0.000115611503148218,1.6036023436395745e-05,3.112770506069349e-05,1.4329330058000494e-05,1.8275111408577984e-05,1.4897132171261926e-05
Frank,0.00021074837710197424,0.0003930488183024876,0.00018213353955793166,0.000162226263612356,0.0003070067731087778,0.0003309323948892823
Gauss Mix Indep,1.4249198037124465e-05,1.5025227336888422e-05,1.6289908611664006e-05,1.4626933383096342e-05,1.514604814350114e-05,1.4722824116087229e-05
Gaussian,1.4176081791883126e-05,1.4875892679984829e-05,1.628391073806782e-05,1.4718610326758444e-05,1.4762606700908307e-05,1.4408076384953713e-05
Gumbel,1.4196961243792345e-05,1.7401008770914304e-05,2.4598230984169983e-05,1.5171718256544514e-05,1.9507786180460093e-05,1.5796005754671532e-05
NIG,1.3555912586096045e-05,1.4125706115708096e-05,1.689993133062748e-05,1.4416008326508197e-05,1.560392281971218e-05,1.3388966313254827e-05
Plackett,1.3989911863048168e-05,1.4597299803538086e-05,1.6134502099966247e-05,1.4181141002577055e-05,1.5129336397480544e-05,1.4303108397529158e-05
rotGumbel,1.4182948588083751e-05,1.4030840070175569e-05,1.474135336603496e-05,1.3811522867512252e-05,1.3978768018960953e-05,1.4062746803422186e-05
t_Copula,1.4056572717271774e-05,1.4665235605248174e-05,1.5873900194909824e-05,1.4956680373704649e-05,1.5086240168445096e-05,1.4522794230992782e-05
