,Variance,ES q=0.05,ES q=0.01,VaR q=0.05,VaR q=0.01,ERM k=10
Clayton,8.930992031346355e-05,9.088177425426599e-05,0.0001370433614004406,8.84854635547104e-05,0.00010889299037000904,8.755712545095166e-05
Frank,0.00032814419551723515,0.0005121037063796758,0.00027945296713120744,0.0005599992803474941,0.0004060360276464848,0.00045546589680114534
Gauss Mix Indep,9.107867455548375e-05,8.800345840596564e-05,9.513395426999576e-05,8.830604584131481e-05,8.88940107293585e-05,8.874835787584521e-05
Gaussian,8.818638117249176e-05,8.7796049833035e-05,8.650563984974206e-05,9.016915238206481e-05,8.644025537653567e-05,8.807056055254396e-05
Gumbel,8.790341101359011e-05,9.362993502377114e-05,0.00011099143342161804,9.39978316560036e-05,9.572725764726833e-05,9.034112838193537e-05
NIG,8.943672927808096e-05,8.905673103279419e-05,9.39868221197454e-05,9.01997979256836e-05,9.470166508703158e-05,8.883778558866666e-05
Plackett,8.987530201826515e-05,8.643977408790874e-05,8.90216508636012e-05,8.857290672083507e-05,8.862731608626308e-05,9.027314370819035e-05
rotGumbel,8.839726778162244e-05,9.081924345799946e-05,0.0001031084672657728,8.620290441986943e-05,9.611493175854709e-05,9.11204279911985e-05
t_Copula,8.956384948370412e-05,8.894268078951998e-05,8.969604312294933e-05,8.902331542603728e-05,8.905267031937949e-05,8.924841781767198e-05
