,Date,rs,rf,rh,h
0,2021-04-29 20:00:00+00:00,-0.0253239281832231,-0.0494098012974383,0.022250207298236402,0.9628481441378722
1,2021-04-28 20:00:00+00:00,0.0282699594759401,0.0130118398563282,0.015741533618455296,0.9628481441378722
2,2021-04-27 20:00:00+00:00,0.0458646774469804,0.0118940102983315,0.03441255170487517,0.9628481441378722
3,2021-04-26 20:00:00+00:00,0.0878162315587445,0.0622769295215145,0.027853005546349202,0.9628481441378722
4,2021-04-23 20:00:00+00:00,-0.0707038505922905,-0.038809980592807,-0.033335732804479434,0.9628481441378722
0,2021-04-22 20:00:00+00:00,-0.0371818456254693,-0.0532982556894824,0.01372726265690953,0.95517400379812
1,2021-04-21 20:00:00+00:00,-0.0001007172085079,-0.0196379597053674,0.01865695138969403,0.95517400379812
2,2021-04-20 20:00:00+00:00,0.0254815658244207,0.0095938772214273,0.016317743706882402,0.95517400379812
3,2021-04-19 20:00:00+00:00,-0.1510736593147706,-0.0983847957924487,-0.05709906000483694,0.95517400379812
4,2021-04-16 20:00:00+00:00,-0.0289860617937184,-0.0303926775383929,4.423369677353586e-05,0.95517400379812
0,2021-04-15 20:00:00+00:00,0.0423751811894976,0.0223297272189313,0.021072653132666045,0.9539985799186622
1,2021-04-14 20:00:00+00:00,-0.0032037919110539,-0.0196825752526951,0.01557335692915943,0.9539985799186622
2,2021-04-13 20:00:00+00:00,0.0816107862765501,0.0501163725785027,0.03379983800598394,0.9539985799186622
3,2021-04-12 20:00:00+00:00,0.076947853217241,0.030881808175611,0.04748665207238757,0.9539985799186622
4,2021-04-09 20:00:00+00:00,-0.004698820193191,0.0101963666970122,-0.01442613954247058,0.9539985799186622
0,2021-04-08 20:00:00+00:00,0.0281624691701345,0.0325507191191601,-0.0029730013828550943,0.9565217419317333
1,2021-04-07 20:00:00+00:00,-0.0633060689991124,-0.0448583056182188,-0.020398124369067697,0.9565217419317333
2,2021-04-06 20:00:00+00:00,0.0526455647202741,-0.0193823945737203,0.07118524654073723,0.9565217419317333
3,2021-04-05 20:00:00+00:00,-0.0020927890983759,0.0049767853219897,-0.0068531924637857695,0.9565217419317333
4,2021-04-02 20:00:00+00:00,0.0093459262652648,0.0,0.0093459262652648,0.9565217419317333
0,2021-04-01 20:00:00+00:00,0.0005533270112846,0.0038323799300737,-0.003137261356444819,0.9630016947871988
1,2021-03-31 20:00:00+00:00,-0.0376060084845915,-0.0052449855910395,-0.032555078471286025,0.9630016947871988
2,2021-03-30 20:00:00+00:00,0.0188094155954418,0.0255669463819577,-0.0058115971009169085,0.9630016947871988
3,2021-03-29 20:00:00+00:00,-0.0010850214806089,0.0714968252018487,-0.06993658532189331,0.9630016947871988
4,2021-03-26 20:00:00+00:00,0.0869134424092458,0.0418557125064962,0.0466063203289642,0.9630016947871988
0,2021-03-25 20:00:00+00:00,0.0015454602706656,-0.0479674761149589,0.04689530150407753,0.9454289636737705
1,2021-03-24 20:00:00+00:00,-0.0186127324761069,-0.0048083558280386,-0.014066773608629632,0.9454289636737705
