"Date","unhedged","future","Variance","VaR 99%","VaR 95%","ES 99%","ES 95%","Spectral 10"
"2020-07-27220000",-0.004306052695319806,-0.005024915204555835,0.00023691350737997663,-0.0015556707167626582,-7.294186477269093e-6,-0.002327349595020456,-0.0007024132942625716,0.00210991326829979
"2020-07-27230000",0.00032305828509904266,-0.0004185676614624212,0.0007014803404290504,0.00055216084823273,0.0006811382173945724,0.00048788119169651534,0.0006232358712773278,0.000857498322411443
"2020-07-28000000",0.000808298531590923,0.0015091175854118344,-0.0005560767677593725,-0.000017715369435178374,-0.00048273460967507287,0.00021404061411134379,-0.0002739715904377382,-0.0011185891210252485
"2020-07-28010000",-0.0004309067894751051,0.0005872236902815242,-0.0009618087589162716,-0.000752323050125181,-0.0009332700597851629,-0.0006621427982889116,-0.0008520367670743489,-0.0011806920209674887
"2020-07-28020000",0.00021549982490642883,-0.0030526051685204614,0.002975323930635043,0.001886340008545151,0.002826969254363987,0.0014175498227780858,0.002404688659611076,0.004113159798121435
"2020-07-28030000",0.,0.002767527675276771,-0.0025020889272757696,-0.0015148033217233792,-0.0023675888364776965,-0.0010897926369523026,-0.0019847442928194736,-0.0035336642799170814
"2020-07-28040000",-0.00016159875030297144,-0.00100536193029499,0.0007473370396323675,0.00038868503010869304,0.0006984770870770429,0.00023429106821459822,0.0005594008520484195,0.0011220782200154211
"2020-07-28050000",-0.00005386334868440201,0.0004190763557119226,-0.0004327453084483901,-0.00028324434507309704,-0.00041237846319575056,-0.00021888656809265772,-0.00035440574711642636,-0.0005889529024281082
"2020-07-28060000",0.00032328457124375376,0.0018052814979638843,-0.0013088490066868186,-0.0006648343314833438,-0.0012211134701783921,-0.00038759629968032616,-0.0009713807656288598,-0.0019817542551203715
"2020-07-28070000",-0.0011302171631548674,-0.002470893709690891,0.001103688516171264,0.00022222387384063236,0.0009836046480766747,-0.00015723257638156074,0.0006417948142798391,0.0020246957648732966
"2020-07-28080000",-0.0023089107847611423,-0.0015471461425883293,-0.0009101543181756488,-0.0014620819935188267,-0.0009853446400340804,-0.001699678042648367,-0.001199368320528027,-0.00033346710312609495
"2020-07-28090000",0.0023682015124195654,0.005507904473595726,-0.0026114295564904078,-0.0006465441274784434,-0.002343748890304531,0.00019930766756914853,-0.0015818157058438143,-0.00466445997436904
"2020-07-28100000",0.002590184280819141,0.00929344366645446,-0.00581190784704777,-0.002496572199325642,-0.00536025237558424,-0.0010693731538214957,-0.004074648538166081,-0.009275969837508669
"2020-07-28110000",0.00048589553246047856,0.00025467974022674866,0.0002556426017615854,0.00034649684824228366,0.00026801987570568286,0.00038560815027477435,0.0003032508689843061,0.00016071262321726287
"2020-07-28120000",0.0008645611001540932,0.0011899196804214807,-0.0002112311614110851,0.0002132598320263579,-0.00015340181918299667,0.00039599642494880793,0.000011205119027746235,-0.0006547648701833442
"2020-07-28130000",0.00016213148863730709,-0.0003398615064360566,0.00046939624326203244,0.0003481543217509486,0.000452879189473232,0.00029596161095413187,0.00040586461957359266,0.000596077091472802
"2020-07-28140000",0.0007571865112632192,0.0031963859529491323,-0.002132628095332878,-0.0009923519314022355,-0.0019772857640752983,-0.0005014812547360359,-0.0015351153271021545,-0.003324057180594586
"2020-07-28150000",-0.00010815780223349947,0.00025577628101269845,-0.0003394021024436533,-0.0002481566768814947,-0.000326971537312315,-0.00020887697850213716,-0.00029158885461777473,-0.00043474080840866236
"2020-07-28160000",0.0030376176398796417,0.003550802139037579,-0.00017262043448562636,0.0010940898757142437,-5.370123368209079e-8,0.0016393884330080377,0.0004911447199001939,-0.0014961555165227125
"2020-07-28170000",-0.0008129860979376735,-0.0011110636297593235,0.00019151334405675957,-0.00020484660504638263,0.00013751635590730782,-0.00037547323267750343,-0.000016182070348813582,0.000605654046574311
"2020-07-28180000",0.0006508121593404859,0.0005130616956690037,0.0001869591691028294,0.0003699883873539145,0.0002118936423038953,0.00044877954256228314,0.000282867772933737,-4.2807611657647016e-6
"2020-07-28190000",-0.0004878709852284002,-0.00047008547008553503,-0.00006287229051560317,-0.0002305702044843594,-0.00008571814639413144,-0.0003027614780628518,-0.00015074718255625452,0.00011234857137754073
"2020-07-28200000",0.0008680791037083413,0.0009410556933868719,0.000017281819400194465,0.0003529932734911423,0.00006301652960283288,0.0004975116926660972,0.00019319699381648014,-0.0003334896895652584
"2020-07-28210000",0.000054257887740494226,0.00004277708859135032,0.000015583629606852334,0.000030843893918275356,0.000017662568997822703,0.00003741319397521092,0.00002358011595027243,-3.612119363616273e-7
"2020-07-28220000",-0.0029213665503530217,-0.004641062760793679,0.0012745632133529528,-0.00038108579754214666,0.0010490105049544285,-0.0010938162535558682,0.00040699143117317593,0.0030044848314328965
"2020-07-28230000",0.,-0.00025540609569207895,0.0002309096200550087,0.00013979625410753815,0.00021849704569565365,0.00010057340528313308,0.00018316557240050102,0.00032611034219565127
"2020-07-29000000",-0.0005947392609012558,0.0012359885777606383,-0.0017121818658230037,-0.001271256290858891,-0.0016521136043854412,-0.0010814448730740445,-0.0014811337485209908,-0.0021728874133607468
"2020-07-29010000",0.,0.00012787723785168126,-0.00011561229314438481,-0.00006999346976765963,-0.00010939754044081429,-0.00005035529490438062,-0.00009170770730670963,-0.00016327758224332634
"2020-07-29020000",0.00113670194051263,0.002093033189526139,-0.0007555845268342187,-8.917543727671173e-6,-0.0006538644405096328,0.0003125106671176825,-0.00036432575099121234,-0.0015357470776420357
"2020-07-29030000",-0.000865309212839005,-0.003490401396160525,0.0022903212667035877,0.0010451582691249905,0.002120689971270018,0.0005091354857721386,0.0016378470564062386,0.003591342421169097
"2020-07-29040000",-0.00010815195349467288,-0.0005530502850336072,0.000391854245818557,0.00019455953023606032,0.0003649763525214178,0.00010962730626784545,0.0002884704205716737,0.0005979996252878372
"2020-07-29050000",-0.0010263890014315935,-0.00046774673640337383,-0.0006035047280856798,-0.0007703683240743997,-0.0006262369229896869,-0.0008422004370878255,-0.0006909424316087209,-0.0004291556117740347
"2020-07-29060000",-0.00010802927593378531,-0.002290950744559095,0.001963192104109779,0.0011459201709911326,0.0018518533500623269,0.0007940976568315827,0.0015349358354952436,0.002817126951198845
"2020-07-29070000",-0.0012946729602157925,-0.0018209536715506625,0.00035162964386326045,-0.00029797590998903445,0.00026313244965248117,-0.0005776207257558452,0.000011231742882533702,0.0010303765784122065
