"Date","unhedged","future","Variance","VaR 99%","VaR 95%","ES 99%","ES 95%","Spectral 10"
"2020-07-18150000",-0.0005654052894860155,-0.0008742169030844878,0.0004983729322091426,0.0006671360884927473,0.0008391765140242921,0.00012155854613393829,0.0005711527737626918,0.0004210257038206601
"2020-07-18160000",-0.0005112818485233315,0.001624154443439959,-0.0024929892491660703,-0.002807932625571862,-0.0031291488646067117,-0.0017903330692444193,-0.0026287912611128303,-0.00234869586046283
"2020-07-18170000",-0.01038414255347347,-0.009911952586651795,0.0016746667687029637,0.003575613025690958,0.005510091306650328,-0.002581689621729071,0.002494861920453884,0.0008023267902774036
"2020-07-18180000",-0.009855689791187786,-0.013485745337484692,0.0064780506608299706,0.009046552943045745,0.011658605326287388,0.0007207518892929608,0.0075864843744981305,0.005298796167996176
"2020-07-18190000",-0.0037629147749314476,-0.007342385378218889,0.005136291927351678,0.006541721978276754,0.00797265794066272,0.0019919596939857722,0.005742602881519543,0.004491576412627664
"2020-07-18200000",0.002498259093271107,0.003806443146273064,-0.002143428510085521,-0.0028822488066739638,-0.00363610728215664,-0.0004962069299453449,-0.002461965730548153,-0.0018050376794889382
"2020-07-18210000",0.003270303835056005,0.006921006334219992,-0.005192147774070197,-0.0065421123346164345,-0.007920405724327879,-0.002185327013348661,-0.005774074416077694,-0.004574118959887627
"2020-07-18220000",-0.0023219620448487184,-0.005337474728575831,0.004152240930293529,0.005176130284934912,0.006219002528951733,0.001862935332631103,0.004593905025896075,0.0036826810152546575
"2020-07-18230000",-0.00026351850052362197,-0.000040634714241973546,-0.0002140419666268546,-0.00020618814586949644,-0.00019818050818600817,-0.00023157341774040336,-0.00021065512741628702,-0.00021764109342110386
"2020-07-19000000",-0.0010533801305848188,-0.002556663933477283,0.0020533851839464484,0.002545675463234257,0.0030473618242960123,0.0009536241711634749,0.0022657070301910034,0.001827706342766103
"2020-07-19010000",-0.00047365928994601536,-0.002833092391967602,0.0029659685294942018,0.0035108983730335525,0.004066199499205471,0.0017485087098877993,0.003200997022186699,0.0027161487335292016
