,datetime,close,timeToMaturityinYears,instrumentName
0,2021-01-17 12:00:00,35296.46,0.0,spot
2,2021-01-17 12:00:00,36737.5,0.18584474885844748,BTC-26MAR21
1,2021-01-17 12:00:00,37483.25,0.4351598173515982,BTC-25JUN21
3,2021-01-17 12:00:00,38338.75,0.6844748858447488,BTC-24SEP21
