,datetime,close,timeToMaturityinYears,instrumentName
0,2022-03-27 04:00:00,44728.14,0.0,spot
3,2022-03-27 04:00:00,44744.25,0.014155251141552512,BTC-1APR22
4,2022-03-27 04:00:00,44743.5,0.03333333333333333,BTC-8APR22
1,2022-03-27 04:00:00,44887.5,0.09086757990867579,BTC-29APR22
8,2022-03-27 04:00:00,45030.0,0.16757990867579908,BTC-27MAY22
5,2022-03-27 04:00:00,45294.75,0.24429223744292236,BTC-24JUN22
6,2022-03-27 04:00:00,46089.25,0.5127853881278538,BTC-30SEP22
2,2022-03-27 04:00:00,46766.5,0.7621004566210045,BTC-30DEC22
7,2022-03-27 04:00:00,47314.75,1.0114155251141552,BTC-31MAR23
