,datetime,close,timeToMaturityinYears,instrumentName
0,2022-01-19 16:00:00,41998.57,0.0,spot
3,2022-01-19 16:00:00,42025.5,0.0045662100456621,BTC-21JAN22
1,2022-01-19 16:00:00,42052.25,0.02374429223744292,BTC-28JAN22
6,2022-01-19 16:00:00,42198.25,0.10045662100456622,BTC-25FEB22
5,2022-01-19 16:00:00,42356.5,0.17716894977168948,BTC-25MAR22
2,2022-01-19 16:00:00,43106.5,0.4264840182648401,BTC-24JUN22
4,2022-01-19 16:00:00,44113.25,0.6949771689497716,BTC-30SEP22
7,2022-01-19 16:00:00,44858.0,0.9442922374429225,BTC-30DEC22
