,datetime,close,timeToMaturityinYears,instrumentName
0,2021-10-02 04:00:00,47542.01,0.0,spot
1,2021-10-02 04:00:00,47572.75,0.016894977168949773,BTC-8OCT21
4,2021-10-02 04:00:00,47673.5,0.036073059360730596,BTC-15OCT21
8,2021-10-02 04:00:00,47911.0,0.07442922374429224,BTC-29OCT21
2,2021-10-02 04:00:00,48148.75,0.15114155251141553,BTC-26NOV21
7,2021-10-02 04:00:00,48427.25,0.24703196347031964,BTC-31DEC21
3,2021-10-02 04:00:00,49523.5,0.4771689497716895,BTC-25MAR22
5,2021-10-02 04:00:00,50590.25,0.7264840182648401,BTC-24JUN22
6,2021-10-02 04:00:00,51698.75,0.9949771689497716,BTC-30SEP22
