,datetime,close,timeToMaturityinYears,instrumentName
0,2021-09-06 15:00:00,51713.24,0.0,spot
7,2021-09-06 15:00:00,51833.5,0.010159817351598174,BTC-10SEP21
3,2021-09-06 15:00:00,51970.75,0.029337899543378995,BTC-17SEP21
1,2021-09-06 15:00:00,52082.75,0.048515981735159815,BTC-24SEP21
5,2021-09-06 15:00:00,52644.25,0.14440639269406394,BTC-29OCT21
4,2021-09-06 15:00:00,53771.75,0.3170091324200913,BTC-31DEC21
2,2021-09-06 15:00:00,55182.5,0.5471461187214612,BTC-25MAR22
6,2021-09-06 15:00:00,56375.0,0.7964611872146119,BTC-24JUN22
