,datetime,close,timeToMaturityinYears,instrumentName
0,2021-04-29 11:00:00,54473.65,0.0,spot
6,2021-04-29 11:00:00,54402.75,0.0023972602739726024,BTC-30APR21
7,2021-04-29 11:00:00,54683.5,0.021575342465753423,BTC-7MAY21
3,2021-04-29 11:00:00,55434.5,0.07910958904109587,BTC-28MAY21
1,2021-04-29 11:00:00,56420.0,0.1558219178082192,BTC-25JUN21
5,2021-04-29 11:00:00,59683.0,0.4051369863013699,BTC-24SEP21
4,2021-04-29 11:00:00,62577.75,0.6736301369863013,BTC-31DEC21
2,2021-04-29 11:00:00,65082.0,0.9037671232876712,BTC-25MAR22
