,datetime,close,timeToMaturityinYears,instrumentName
0,2021-12-05 11:00:00,49364.32,0.0,spot
2,2021-12-05 11:00:00,49300.75,0.013356164383561643,BTC-10DEC21
1,2021-12-05 11:00:00,49334.75,0.03253424657534247,BTC-17DEC21
3,2021-12-05 11:00:00,49389.5,0.07089041095890411,BTC-31DEC21
6,2021-12-05 11:00:00,49639.0,0.1476027397260274,BTC-28JAN22
5,2021-12-05 11:00:00,50213.0,0.301027397260274,BTC-25MAR22
7,2021-12-05 11:00:00,51248.75,0.5503424657534246,BTC-24JUN22
4,2021-12-05 11:00:00,52757.0,0.8188356164383561,BTC-30SEP22
