,datetime,close,timeToMaturityinYears,instrumentName
0,2021-07-15 11:00:00,31866.6,0.0,spot
4,2021-07-15 11:00:00,31856.5,0.0023972602739726024,BTC-16JUL21
5,2021-07-15 11:00:00,31801.75,0.021575342465753423,BTC-23JUL21
2,2021-07-15 11:00:00,31772.0,0.04075342465753425,BTC-30JUL21
6,2021-07-15 11:00:00,31939.0,0.19417808219178082,BTC-24SEP21
3,2021-07-15 11:00:00,32326.25,0.46267123287671236,BTC-31DEC21
7,2021-07-15 11:00:00,32845.0,0.6928082191780821,BTC-25MAR22
1,2021-07-15 11:00:00,33435.5,0.9421232876712328,BTC-24JUN22
