,datetime,close,timeToMaturityinYears,instrumentName
0,2022-01-27 04:00:00,35777.7,0.0,spot
2,2022-01-27 04:00:00,35762.0,0.00319634703196347,BTC-28JAN22
6,2022-01-27 04:00:00,35713.75,0.02237442922374429,BTC-4FEB22
4,2022-01-27 04:00:00,35768.75,0.07990867579908677,BTC-25FEB22
3,2022-01-27 04:00:00,35997.0,0.15662100456621003,BTC-25MAR22
7,2022-01-27 04:00:00,36644.0,0.40593607305936075,BTC-24JUN22
1,2022-01-27 04:00:00,37202.25,0.6744292237442923,BTC-30SEP22
5,2022-01-27 04:00:00,37708.75,0.9237442922374429,BTC-30DEC22
