,datetime,close,timeToMaturityinYears,instrumentName
0,2021-08-02 06:00:00,39735.66,0.0,spot
4,2021-08-02 06:00:00,39747.75,0.011187214611872146,BTC-6AUG21
7,2021-08-02 06:00:00,39820.0,0.03036529680365297,BTC-13AUG21
2,2021-08-02 06:00:00,39952.5,0.06872146118721462,BTC-27AUG21
6,2021-08-02 06:00:00,40194.5,0.14543378995433792,BTC-24SEP21
5,2021-08-02 06:00:00,41148.25,0.41392694063926944,BTC-31DEC21
1,2021-08-02 06:00:00,42058.75,0.6440639269406392,BTC-25MAR22
3,2021-08-02 06:00:00,42931.75,0.89337899543379,BTC-24JUN22
