,datetime,close,timeToMaturityinYears,instrumentName
0,2022-07-26 10:00:00,21124.54,0.0,spot
4,2022-07-26 10:00:00,21128.0,0.007990867579908677,BTC-29JUL22
2,2022-07-26 10:00:00,21122.75,0.0271689497716895,BTC-5AUG22
5,2022-07-26 10:00:00,21143.75,0.08470319634703197,BTC-26AUG22
3,2022-07-26 10:00:00,21201.0,0.18059360730593607,BTC-30SEP22
6,2022-07-26 10:00:00,21285.0,0.42990867579908676,BTC-30DEC22
1,2022-07-26 10:00:00,21367.75,0.6792237442922374,BTC-31MAR23
7,2022-07-26 10:00:00,21447.75,0.9285388127853882,BTC-30JUN23
