,datetime,close,timeToMaturityinYears,instrumentName
0,2021-04-20 19:00:00,56292.48,0.0,spot
3,2021-04-20 19:00:00,56373.75,0.006963470319634703,BTC-23APR21
1,2021-04-20 19:00:00,56474.25,0.026141552511415526,BTC-30APR21
7,2021-04-20 19:00:00,57653.5,0.10285388127853883,BTC-28MAY21
5,2021-04-20 19:00:00,58607.25,0.1795662100456621,BTC-25JUN21
2,2021-04-20 19:00:00,61990.25,0.42888127853881286,BTC-24SEP21
6,2021-04-20 19:00:00,65383.25,0.6973744292237443,BTC-31DEC21
4,2021-04-20 19:00:00,67677.5,0.9275114155251141,BTC-25MAR22
