,datetime,close,timeToMaturityinYears,instrumentName
0,2022-01-11 16:00:00,41741.65,0.0,spot
8,2022-01-11 16:00:00,41770.0,0.007305936073059361,BTC-14JAN22
5,2022-01-11 16:00:00,41807.25,0.026484018264840186,BTC-21JAN22
7,2022-01-11 16:00:00,41849.75,0.04566210045662101,BTC-28JAN22
1,2022-01-11 16:00:00,42060.0,0.1223744292237443,BTC-25FEB22
2,2022-01-11 16:00:00,42313.75,0.19908675799086759,BTC-25MAR22
6,2022-01-11 16:00:00,43133.5,0.4484018264840183,BTC-24JUN22
4,2022-01-11 16:00:00,44027.75,0.7168949771689498,BTC-30SEP22
3,2022-01-11 16:00:00,44800.5,0.9662100456621006,BTC-30DEC22
