,datetime,close,timeToMaturityinYears,instrumentName
0,2020-05-26 10:00:00,8889.89,0.0,spot
1,2020-05-26 10:00:00,8900.25,0.08470319634703197,BTC-26JUN20
3,2020-05-26 10:00:00,8980.75,0.3340182648401827,BTC-25SEP20
2,2020-05-26 10:00:00,9077.0,0.5833333333333334,BTC-25DEC20
