,datetime,close,timeToMaturityinYears,instrumentName
0,2021-10-09 15:00:00,55150.18,0.0,spot
5,2021-10-09 15:00:00,55163.5,0.015639269406392695,BTC-15OCT21
2,2021-10-09 15:00:00,55323.75,0.03481735159817352,BTC-22OCT21
4,2021-10-09 15:00:00,55517.5,0.053995433789954334,BTC-29OCT21
8,2021-10-09 15:00:00,56024.75,0.13070776255707764,BTC-26NOV21
1,2021-10-09 15:00:00,56545.0,0.22659817351598172,BTC-31DEC21
3,2021-10-09 15:00:00,58245.0,0.4567351598173516,BTC-25MAR22
6,2021-10-09 15:00:00,59640.75,0.7060502283105022,BTC-24JUN22
7,2021-10-09 15:00:00,61287.0,0.974543378995434,BTC-30SEP22
