,datetime,close,timeToMaturityinYears,instrumentName
0,2021-10-01 22:00:00,48375.73,0.0,spot
4,2021-10-01 22:00:00,48326.5,0.017579908675799085,BTC-8OCT21
5,2021-10-01 22:00:00,48437.25,0.03675799086757991,BTC-15OCT21
1,2021-10-01 22:00:00,48688.25,0.07511415525114155,BTC-29OCT21
7,2021-10-01 22:00:00,48946.0,0.15182648401826482,BTC-26NOV21
8,2021-10-01 22:00:00,49178.5,0.24771689497716895,BTC-31DEC21
6,2021-10-01 22:00:00,50314.5,0.4778538812785388,BTC-25MAR22
2,2021-10-01 22:00:00,51371.0,0.7271689497716896,BTC-24JUN22
3,2021-10-01 22:00:00,52442.75,0.995662100456621,BTC-30SEP22
