Date,BITW100,% Change
Sat Dec 31 2016 19:00:00 GMT-0500,964,
Sun Jan 01 2017 19:00:00 GMT-0500,996,3.32%
Mon Jan 02 2017 19:00:00 GMT-0500,1019.82,2.39%
Tue Jan 03 2017 19:00:00 GMT-0500,1047.76,2.74%
Wed Jan 04 2017 19:00:00 GMT-0500,1163.81,11.08%
Thu Jan 05 2017 19:00:00 GMT-0500,1025.04,-11.92%
Fri Jan 06 2017 19:00:00 GMT-0500,921.47,-10.10%
Sat Jan 07 2017 19:00:00 GMT-0500,922.96,0.16%
Sun Jan 08 2017 19:00:00 GMT-0500,929.99,0.76%
Mon Jan 09 2017 19:00:00 GMT-0500,921.25,-0.94%
Tue Jan 10 2017 19:00:00 GMT-0500,929.77,0.93%
Wed Jan 11 2017 19:00:00 GMT-0500,799.74,-13.99%
Thu Jan 12 2017 19:00:00 GMT-0500,828.02,3.54%
Fri Jan 13 2017 19:00:00 GMT-0500,846.45,2.23%
Sat Jan 14 2017 19:00:00 GMT-0500,841.4,-0.60%
Sun Jan 15 2017 19:00:00 GMT-0500,844.95,0.42%
Mon Jan 16 2017 19:00:00 GMT-0500,853,0.95%
Tue Jan 17 2017 19:00:00 GMT-0500,927.68,8.76%
Wed Jan 18 2017 19:00:00 GMT-0500,907.89,-2.13%
Thu Jan 19 2017 19:00:00 GMT-0500,918.9,1.21%
Fri Jan 20 2017 19:00:00 GMT-0500,917.33,-0.17%
Sat Jan 21 2017 19:00:00 GMT-0500,943.22,2.82%
Sun Jan 22 2017 19:00:00 GMT-0500,944.95,0.18%
Mon Jan 23 2017 19:00:00 GMT-0500,932.25,-1.34%
Tue Jan 24 2017 19:00:00 GMT-0500,912.63,-2.10%
Wed Jan 25 2017 19:00:00 GMT-0500,921.53,0.97%
Thu Jan 26 2017 19:00:00 GMT-0500,937.7,1.75%
Fri Jan 27 2017 19:00:00 GMT-0500,938.55,0.09%
Sat Jan 28 2017 19:00:00 GMT-0500,942.09,0.38%
Sun Jan 29 2017 19:00:00 GMT-0500,941.11,-0.10%
Mon Jan 30 2017 19:00:00 GMT-0500,943.66,0.27%
Tue Jan 31 2017 19:00:00 GMT-0500,988.57,4.76%
Wed Feb 01 2017 19:00:00 GMT-0500,1005.98,1.76%
Thu Feb 02 2017 19:00:00 GMT-0500,1025.78,1.97%
Fri Feb 03 2017 19:00:00 GMT-0500,1045.92,1.96%
Sat Feb 04 2017 19:00:00 GMT-0500,1058.39,1.19%
Sun Feb 05 2017 19:00:00 GMT-0500,1043.84,-1.38%
Mon Feb 06 2017 19:00:00 GMT-0500,1055.41,1.11%
Tue Feb 07 2017 19:00:00 GMT-0500,1075.34,1.89%
Wed Feb 08 2017 19:00:00 GMT-0500,1076.86,0.14%
Thu Feb 09 2017 19:00:00 GMT-0500,1009.78,-6.23%
Fri Feb 10 2017 19:00:00 GMT-0500,1004.55,-0.52%
Sat Feb 11 2017 19:00:00 GMT-0500,1019.02,1.44%
Sun Feb 12 2017 19:00:00 GMT-0500,1014.9,-0.40%
Mon Feb 13 2017 19:00:00 GMT-0500,1007.05,-0.77%
Tue Feb 14 2017 19:00:00 GMT-0500,1031.19,2.40%
Wed Feb 15 2017 19:00:00 GMT-0500,1033.13,0.19%
Thu Feb 16 2017 19:00:00 GMT-0500,1047.64,1.40%
Fri Feb 17 2017 19:00:00 GMT-0500,1067.59,1.90%
Sat Feb 18 2017 19:00:00 GMT-0500,1071.61,0.38%
Sun Feb 19 2017 19:00:00 GMT-0500,1066.83,-0.45%
Mon Feb 20 2017 19:00:00 GMT-0500,1089.44,2.12%
Tue Feb 21 2017 19:00:00 GMT-0500,1120.88,2.89%
Wed Feb 22 2017 19:00:00 GMT-0500,1123.58,0.24%
Thu Feb 23 2017 19:00:00 GMT-0500,1177.82,4.83%
Fri Feb 24 2017 19:00:00 GMT-0500,1173.47,-0.37%
Sat Feb 25 2017 19:00:00 GMT-0500,1152.79,-1.76%
Sun Feb 26 2017 19:00:00 GMT-0500,1175.93,2.01%
Mon Feb 27 2017 19:00:00 GMT-0500,1195.14,1.63%
Tue Feb 28 2017 19:00:00 GMT-0500,1198.9,0.32%
Wed Mar 01 2017 19:00:00 GMT-0500,1252.18,4.44%
Thu Mar 02 2017 19:00:00 GMT-0500,1287.13,2.79%
Fri Mar 03 2017 19:00:00 GMT-0500,1317,2.32%
Sat Mar 04 2017 19:00:00 GMT-0500,1289.12,-2.12%
Sun Mar 05 2017 19:00:00 GMT-0500,1306.19,1.32%
Mon Mar 06 2017 19:00:00 GMT-0500,1315.81,0.74%
Tue Mar 07 2017 19:00:00 GMT-0500,1266.47,-3.75%
Wed Mar 08 2017 19:00:00 GMT-0500,1185.72,-6.38%
Thu Mar 09 2017 19:00:00 GMT-0500,1232.06,3.91%
Fri Mar 10 2017 19:00:00 GMT-0500,1174.35,-4.68%
Sat Mar 11 2017 19:00:00 GMT-0500,1255.47,6.91%
Sun Mar 12 2017 20:00:00 GMT-0400,1311.03,4.43%
Mon Mar 13 2017 20:00:00 GMT-0400,1350.79,3.03%
Tue Mar 14 2017 20:00:00 GMT-0400,1366.78,1.18%
Wed Mar 15 2017 20:00:00 GMT-0400,1417.49,3.71%
Thu Mar 16 2017 20:00:00 GMT-0400,1409.41,-0.57%
Fri Mar 17 2017 20:00:00 GMT-0400,1346.03,-4.50%
Sat Mar 18 2017 20:00:00 GMT-0400,1185.55,-11.92%
Sun Mar 19 2017 20:00:00 GMT-0400,1293.55,9.11%
Mon Mar 20 2017 20:00:00 GMT-0400,1299.33,0.45%
Tue Mar 21 2017 20:00:00 GMT-0400,1354.42,4.24%
Wed Mar 22 2017 20:00:00 GMT-0400,1294.58,-4.42%
Thu Mar 23 2017 20:00:00 GMT-0400,1298.19,0.28%
Fri Mar 24 2017 20:00:00 GMT-0400,1251.97,-3.56%
Sat Mar 25 2017 20:00:00 GMT-0400,1265.04,1.04%
Sun Mar 26 2017 20:00:00 GMT-0400,1268.94,0.31%
Mon Mar 27 2017 20:00:00 GMT-0400,1318.17,3.88%
Tue Mar 28 2017 20:00:00 GMT-0400,1331.13,0.98%
Wed Mar 29 2017 20:00:00 GMT-0400,1341.08,0.75%
Thu Mar 30 2017 20:00:00 GMT-0400,1340.89,-0.01%
Fri Mar 31 2017 20:00:00 GMT-0400,1393.17,3.90%
Sat Apr 01 2017 20:00:00 GMT-0400,1405.35,0.87%
Sun Apr 02 2017 20:00:00 GMT-0400,1510.77,7.50%
Mon Apr 03 2017 20:00:00 GMT-0400,1458.19,-3.48%
Tue Apr 04 2017 20:00:00 GMT-0400,1467.64,0.65%
Wed Apr 05 2017 20:00:00 GMT-0400,1472.48,0.33%
Thu Apr 06 2017 20:00:00 GMT-0400,1489.17,1.13%
Fri Apr 07 2017 20:00:00 GMT-0400,1483.39,-0.39%
Sat Apr 08 2017 20:00:00 GMT-0400,1505.02,1.46%
Sun Apr 09 2017 20:00:00 GMT-0400,1497.74,-0.48%
Mon Apr 10 2017 20:00:00 GMT-0400,1499.34,0.11%
Tue Apr 11 2017 20:00:00 GMT-0400,1511.73,0.83%
Wed Apr 12 2017 20:00:00 GMT-0400,1541.82,1.99%
Thu Apr 13 2017 20:00:00 GMT-0400,1534.62,-0.47%
Fri Apr 14 2017 20:00:00 GMT-0400,1518.46,-1.05%
Sat Apr 15 2017 20:00:00 GMT-0400,1543.54,1.65%
Sun Apr 16 2017 20:00:00 GMT-0400,1550.91,0.48%
Mon Apr 17 2017 20:00:00 GMT-0400,1560.7,0.63%
Tue Apr 18 2017 20:00:00 GMT-0400,1591.14,1.95%
Wed Apr 19 2017 20:00:00 GMT-0400,1569.99,-1.33%
Thu Apr 20 2017 20:00:00 GMT-0400,1589.17,1.22%
Fri Apr 21 2017 20:00:00 GMT-0400,1590.95,0.11%
Sat Apr 22 2017 20:00:00 GMT-0400,1605.11,0.89%
Sun Apr 23 2017 20:00:00 GMT-0400,1588.51,-1.03%
Mon Apr 24 2017 20:00:00 GMT-0400,1644.4,3.52%
Tue Apr 25 2017 20:00:00 GMT-0400,1661.17,1.02%
Wed Apr 26 2017 20:00:00 GMT-0400,1700.01,2.34%
Thu Apr 27 2017 20:00:00 GMT-0400,1790.37,5.32%
Fri Apr 28 2017 20:00:00 GMT-0400,1866.43,4.25%
Sat Apr 29 2017 20:00:00 GMT-0400,1903.85,2.00%
Sun Apr 30 2017 20:00:00 GMT-0400,1987.39,4.39%
Mon May 01 2017 20:00:00 GMT-0400,2042.39,2.77%
Tue May 02 2017 20:00:00 GMT-0400,2067.78,1.24%
Wed May 03 2017 20:00:00 GMT-0400,2161.19,4.52%
Thu May 04 2017 20:00:00 GMT-0400,2369.68,9.65%
Fri May 05 2017 20:00:00 GMT-0400,2436.9,2.84%
Sat May 06 2017 20:00:00 GMT-0400,2516.92,3.28%
Sun May 07 2017 20:00:00 GMT-0400,2662.89,5.80%
Mon May 08 2017 20:00:00 GMT-0400,2922.16,9.74%
Tue May 09 2017 20:00:00 GMT-0400,2821.8,-3.43%
Wed May 10 2017 20:00:00 GMT-0400,2910.09,3.13%
Thu May 11 2017 20:00:00 GMT-0400,2950.7,1.40%
Fri May 12 2017 20:00:00 GMT-0400,2895.93,-1.86%
Sat May 13 2017 20:00:00 GMT-0400,3004.59,3.75%
Sun May 14 2017 20:00:00 GMT-0400,3035.21,1.02%
Mon May 15 2017 20:00:00 GMT-0400,3095.12,1.97%
Tue May 16 2017 20:00:00 GMT-0400,3278.3,5.92%
Wed May 17 2017 20:00:00 GMT-0400,3497.42,6.68%
Thu May 18 2017 20:00:00 GMT-0400,3600.01,2.93%
Fri May 19 2017 20:00:00 GMT-0400,3760.76,4.47%
Sat May 20 2017 20:00:00 GMT-0400,3927.76,4.44%
Sun May 21 2017 20:00:00 GMT-0400,4067.07,3.55%
Mon May 22 2017 20:00:00 GMT-0400,4200.16,3.27%
Tue May 23 2017 20:00:00 GMT-0400,4517.09,7.55%
Wed May 24 2017 20:00:00 GMT-0400,4609.93,2.06%
Thu May 25 2017 20:00:00 GMT-0400,4185.2,-9.21%
Fri May 26 2017 20:00:00 GMT-0400,3996.67,-4.50%
Sat May 27 2017 20:00:00 GMT-0400,3712.57,-7.11%
Sun May 28 2017 20:00:00 GMT-0400,3922.16,5.65%
