Date,BITW70,% Change
Sat Dec 31 2016 19:00:00 GMT-0500,964,
Sun Jan 01 2017 19:00:00 GMT-0500,1003.46,4.09%
Mon Jan 02 2017 19:00:00 GMT-0500,997.34,-0.61%
Tue Jan 03 2017 19:00:00 GMT-0500,1033.46,3.62%
Wed Jan 04 2017 19:00:00 GMT-0500,1139.28,10.24%
Thu Jan 05 2017 19:00:00 GMT-0500,1003.22,-11.94%
Fri Jan 06 2017 19:00:00 GMT-0500,971.82,-3.13%
Sat Jan 07 2017 19:00:00 GMT-0500,1014.8,4.42%
Sun Jan 08 2017 19:00:00 GMT-0500,1046.98,3.17%
Mon Jan 09 2017 19:00:00 GMT-0500,1062.01,1.44%
Tue Jan 10 2017 19:00:00 GMT-0500,1054.43,-0.71%
Wed Jan 11 2017 19:00:00 GMT-0500,956.2,-9.32%
Thu Jan 12 2017 19:00:00 GMT-0500,1036.14,8.36%
Fri Jan 13 2017 19:00:00 GMT-0500,991.97,-4.26%
Sat Jan 14 2017 19:00:00 GMT-0500,1049.24,5.77%
Sun Jan 15 2017 19:00:00 GMT-0500,1112.65,6.04%
Mon Jan 16 2017 19:00:00 GMT-0500,1103.51,-0.82%
Tue Jan 17 2017 19:00:00 GMT-0500,1137.79,3.11%
Wed Jan 18 2017 19:00:00 GMT-0500,1130.26,-0.66%
Thu Jan 19 2017 19:00:00 GMT-0500,1181.94,4.57%
Fri Jan 20 2017 19:00:00 GMT-0500,1148.3,-2.85%
Sat Jan 21 2017 19:00:00 GMT-0500,1179.33,2.70%
Sun Jan 22 2017 19:00:00 GMT-0500,1129.63,-4.21%
Mon Jan 23 2017 19:00:00 GMT-0500,1122.52,-0.63%
Tue Jan 24 2017 19:00:00 GMT-0500,1065.02,-5.12%
Wed Jan 25 2017 19:00:00 GMT-0500,1089.94,2.34%
Thu Jan 26 2017 19:00:00 GMT-0500,1146.92,5.23%
Fri Jan 27 2017 19:00:00 GMT-0500,1243.09,8.39%
Sat Jan 28 2017 19:00:00 GMT-0500,1312.32,5.57%
Sun Jan 29 2017 19:00:00 GMT-0500,1354.36,3.20%
Mon Jan 30 2017 19:00:00 GMT-0500,1385.7,2.31%
Tue Jan 31 2017 19:00:00 GMT-0500,1410.2,1.77%
Wed Feb 01 2017 19:00:00 GMT-0500,1405.52,-0.33%
Thu Feb 02 2017 19:00:00 GMT-0500,1481.28,5.39%
Fri Feb 03 2017 19:00:00 GMT-0500,1522.68,2.80%
Sat Feb 04 2017 19:00:00 GMT-0500,1567.86,2.97%
Sun Feb 05 2017 19:00:00 GMT-0500,1558.67,-0.59%
Mon Feb 06 2017 19:00:00 GMT-0500,1507.25,-3.30%
Tue Feb 07 2017 19:00:00 GMT-0500,1494.08,-0.87%
Wed Feb 08 2017 19:00:00 GMT-0500,1508.51,0.97%
Thu Feb 09 2017 19:00:00 GMT-0500,1419.62,-5.89%
Fri Feb 10 2017 19:00:00 GMT-0500,1412.56,-0.50%
Sat Feb 11 2017 19:00:00 GMT-0500,1431.04,1.31%
Sun Feb 12 2017 19:00:00 GMT-0500,1415.61,-1.08%
Mon Feb 13 2017 19:00:00 GMT-0500,1391.85,-1.68%
Tue Feb 14 2017 19:00:00 GMT-0500,1381.63,-0.73%
Wed Feb 15 2017 19:00:00 GMT-0500,1386.05,0.32%
Thu Feb 16 2017 19:00:00 GMT-0500,1418.9,2.37%
Fri Feb 17 2017 19:00:00 GMT-0500,1421.77,0.20%
Sat Feb 18 2017 19:00:00 GMT-0500,1367.33,-3.83%
Sun Feb 19 2017 19:00:00 GMT-0500,1376.34,0.66%
Mon Feb 20 2017 19:00:00 GMT-0500,1404.4,2.04%
Tue Feb 21 2017 19:00:00 GMT-0500,1361.72,-3.04%
Wed Feb 22 2017 19:00:00 GMT-0500,1348.37,-0.98%
Thu Feb 23 2017 19:00:00 GMT-0500,1380.57,2.39%
Fri Feb 24 2017 19:00:00 GMT-0500,1361.79,-1.36%
Sat Feb 25 2017 19:00:00 GMT-0500,1388.94,1.99%
Sun Feb 26 2017 19:00:00 GMT-0500,1385.72,-0.23%
Mon Feb 27 2017 19:00:00 GMT-0500,1371.95,-0.99%
Tue Feb 28 2017 19:00:00 GMT-0500,1362.58,-0.68%
Wed Mar 01 2017 19:00:00 GMT-0500,1347.27,-1.12%
Thu Mar 02 2017 19:00:00 GMT-0500,1349.59,0.17%
Fri Mar 03 2017 19:00:00 GMT-0500,1362.53,0.96%
Sat Mar 04 2017 19:00:00 GMT-0500,1340.33,-1.63%
Sun Mar 05 2017 19:00:00 GMT-0500,1389.18,3.64%
Mon Mar 06 2017 19:00:00 GMT-0500,1409.58,1.47%
Tue Mar 07 2017 19:00:00 GMT-0500,1369.94,-2.81%
Wed Mar 08 2017 19:00:00 GMT-0500,1302.05,-4.96%
Thu Mar 09 2017 19:00:00 GMT-0500,1342.52,3.11%
Fri Mar 10 2017 19:00:00 GMT-0500,1256.62,-6.40%
Sat Mar 11 2017 19:00:00 GMT-0500,1319.16,4.98%
Sun Mar 12 2017 20:00:00 GMT-0400,1403.05,6.36%
Mon Mar 13 2017 20:00:00 GMT-0400,1569.88,11.89%
Tue Mar 14 2017 20:00:00 GMT-0400,1632.48,3.99%
Wed Mar 15 2017 20:00:00 GMT-0400,1709.89,4.74%
Thu Mar 16 2017 20:00:00 GMT-0400,1725.02,0.89%
Fri Mar 17 2017 20:00:00 GMT-0400,1640.77,-4.88%
Sat Mar 18 2017 20:00:00 GMT-0400,1445.13,-11.92%
Sun Mar 19 2017 20:00:00 GMT-0400,1587.93,9.88%
Mon Mar 20 2017 20:00:00 GMT-0400,1699.92,7.05%
Tue Mar 21 2017 20:00:00 GMT-0400,1800.31,5.91%
Wed Mar 22 2017 20:00:00 GMT-0400,1777.49,-1.27%
Thu Mar 23 2017 20:00:00 GMT-0400,1816.9,2.22%
Fri Mar 24 2017 20:00:00 GMT-0400,1674.42,-7.84%
Sat Mar 25 2017 20:00:00 GMT-0400,1714.37,2.39%
Sun Mar 26 2017 20:00:00 GMT-0400,1829.89,6.74%
Mon Mar 27 2017 20:00:00 GMT-0400,2528.31,38.17%
Tue Mar 28 2017 20:00:00 GMT-0400,2331.92,-7.77%
Wed Mar 29 2017 20:00:00 GMT-0400,2325.94,-0.26%
Thu Mar 30 2017 20:00:00 GMT-0400,2319.57,-0.27%
Fri Mar 31 2017 20:00:00 GMT-0400,2346.22,1.15%
Sat Apr 01 2017 20:00:00 GMT-0400,2366.3,0.86%
Sun Apr 02 2017 20:00:00 GMT-0400,2453.77,3.70%
Mon Apr 03 2017 20:00:00 GMT-0400,2404.98,-1.99%
Tue Apr 04 2017 20:00:00 GMT-0400,2407.07,0.09%
Wed Apr 05 2017 20:00:00 GMT-0400,2539.84,5.52%
Thu Apr 06 2017 20:00:00 GMT-0400,2509.73,-1.19%
Fri Apr 07 2017 20:00:00 GMT-0400,2607.84,3.91%
Sat Apr 08 2017 20:00:00 GMT-0400,2584.46,-0.90%
Sun Apr 09 2017 20:00:00 GMT-0400,2560.92,-0.91%
Mon Apr 10 2017 20:00:00 GMT-0400,2631.62,2.76%
Tue Apr 11 2017 20:00:00 GMT-0400,2675.14,1.65%
Wed Apr 12 2017 20:00:00 GMT-0400,2773.46,3.68%
Thu Apr 13 2017 20:00:00 GMT-0400,2819.49,1.66%
Fri Apr 14 2017 20:00:00 GMT-0400,2880.55,2.17%
Sat Apr 15 2017 20:00:00 GMT-0400,3124.25,8.46%
Sun Apr 16 2017 20:00:00 GMT-0400,3304.33,5.76%
Mon Apr 17 2017 20:00:00 GMT-0400,3337.68,1.01%
Tue Apr 18 2017 20:00:00 GMT-0400,3420.77,2.49%
Wed Apr 19 2017 20:00:00 GMT-0400,3421.87,0.03%
Thu Apr 20 2017 20:00:00 GMT-0400,3299.07,-3.59%
Fri Apr 21 2017 20:00:00 GMT-0400,3331.42,0.98%
Sat Apr 22 2017 20:00:00 GMT-0400,3357.46,0.78%
Sun Apr 23 2017 20:00:00 GMT-0400,3293.52,-1.90%
Mon Apr 24 2017 20:00:00 GMT-0400,3374.3,2.45%
