,Date,open,high,low,close,volume
0,2018-11-22 08:00:00,1.96825,1.96825,1.96825,1.96825,2000.0
1,2018-11-22 09:00:00,1.956,1.956,1.94375,1.94375,5200.0
2,2018-11-22 13:00:00,1.91975,1.91975,1.91975,1.91975,600.0
3,2018-11-23 08:00:00,1.8325,1.84675,1.8325,1.84675,18560.0
4,2018-11-23 09:00:00,1.8665,1.89625,1.8625,1.8625,182424.0
5,2018-11-23 10:00:00,1.875,1.882,1.875,1.875,9600.0
6,2018-11-23 11:00:00,1.87275,1.87275,1.86,1.86,968.0
7,2018-11-23 12:00:00,1.8595,1.8595,1.8595,1.8595,1200.0
8,2018-11-23 14:00:00,1.85775,1.85775,1.85775,1.85775,1200.0
9,2018-11-23 15:00:00,1.8375,1.8375,1.8375,1.8375,3200.0
10,2018-11-23 16:00:00,1.83625,1.83625,1.83625,1.83625,800.0
11,2018-11-26 08:00:00,1.71875,1.71875,1.6625,1.6625,38472.0
12,2018-11-26 09:00:00,1.67775,1.67775,1.67725,1.67725,1440.0
13,2018-11-26 11:00:00,1.68025,1.6885,1.67625,1.67625,45496.0
14,2018-11-26 12:00:00,1.65975,1.678,1.65975,1.678,2488.0
15,2018-11-26 13:00:00,1.65,1.65,1.65,1.65,32000.0
16,2018-11-26 15:00:00,1.59375,1.59375,1.58,1.58,12000.0
17,2018-11-26 16:00:00,1.5625,1.5625,1.5505,1.5505,1920.0
18,2018-11-27 08:00:00,1.5685,1.5715,1.5685,1.5715,1520.0
19,2018-11-27 09:00:00,1.575,1.575,1.575,1.575,3200.0
20,2018-11-27 10:00:00,1.53625,1.53625,1.53625,1.53625,8000.0
21,2018-11-27 11:00:00,1.55625,1.57,1.55625,1.558,191480.0
22,2018-11-27 12:00:00,1.55775,1.55775,1.55775,1.55775,1600.0
23,2018-11-27 13:00:00,1.5745,1.5745,1.5745,1.5745,6400.0
24,2018-11-28 08:00:00,1.712,1.712,1.69175,1.69175,6352.0
25,2018-11-28 09:00:00,1.695,1.695,1.695,1.695,560.0
26,2018-11-28 10:00:00,1.70175,1.70175,1.70175,1.70175,592.0
27,2018-11-28 14:00:00,1.7465,1.77675,1.7465,1.77675,18720.0
28,2018-11-28 15:00:00,1.77625,1.77625,1.77625,1.77625,4000.0
29,2018-11-29 08:00:00,1.7525,1.771,1.7525,1.771,2280.0
30,2018-11-29 09:00:00,1.7965,1.8,1.7965,1.8,4016.0
31,2018-11-29 10:00:00,1.81075,1.81075,1.798,1.798,8560.0
32,2018-11-29 12:00:00,1.78625,1.78625,1.78625,1.78625,1600.0
33,2018-11-29 13:00:00,1.7345,1.7345,1.7345,1.7345,2000.0
34,2018-11-29 14:00:00,1.7625,1.7625,1.7625,1.7625,1600.0
35,2018-11-29 15:00:00,1.74325,1.76075,1.74325,1.76075,10640.0
36,2018-11-30 08:00:00,1.74675,1.74675,1.74675,1.74675,8000.0
37,2018-11-30 09:00:00,1.72875,1.72875,1.72875,1.72875,1600.0
38,2018-11-30 10:00:00,1.7205,1.7205,1.68275,1.6845,59936.0
39,2018-11-30 11:00:00,1.65,1.65,1.65,1.65,32.0
40,2018-11-30 12:00:00,1.65925,1.65925,1.625,1.625,2240.0
41,2018-11-30 13:00:00,1.665,1.665,1.665,1.665,800.0
42,2018-11-30 15:00:00,1.662,1.662,1.6525,1.6525,1680.0
43,2018-12-03 08:00:00,1.6615,1.6615,1.6615,1.6615,4240.0
44,2018-12-03 11:00:00,1.63725,1.63725,1.63725,1.63725,800.0
45,2018-12-03 13:00:00,1.66675,1.66675,1.66025,1.66025,26352.0
46,2018-12-03 15:00:00,1.618,1.618,1.618,1.618,4000.0
47,2018-12-04 08:00:00,1.656,1.656,1.646,1.646,40000.0
48,2018-12-04 11:00:00,1.625,1.633,1.625,1.633,6616.0
49,2018-12-04 13:00:00,1.6385,1.6425,1.63775,1.63775,24000.0
50,2018-12-04 14:00:00,1.63525,1.63525,1.63525,1.63525,24000.0
