,id,date,open,high,low,close,volume,tradesDone,volumeNotional
40,40,2020-10-27 12:00:00+00:00,36.755,37.463,36.754,37.214,4631.219,549.0,172346.183866
41,41,2020-10-27 13:00:00+00:00,37.199,39.001,37.131,38.398,18756.21900000002,2439.0,720201.2971620008
42,42,2020-10-27 14:00:00+00:00,38.397,38.739,36.541,36.839,31775.020000000182,3069.0,1170559.9617800068
43,43,2020-10-27 15:00:00+00:00,36.872,37.123,36.5,36.827,12956.931000000002,1409.0,477164.8979370001
44,44,2020-10-27 16:00:00+00:00,36.876,37.1,36.555,36.777,13740.496999999998,1551.0,505334.2581689999
45,45,2020-10-27 17:00:00+00:00,36.777,36.799,35.534,36.0,24799.55,2436.0,892783.7999999998
46,46,2020-10-27 18:00:00+00:00,36.0,36.0,34.9,35.571,7010.172,1383.0,249358.828212
47,47,2020-10-27 19:00:00+00:00,35.611,35.753,35.336,35.393,3217.038,445.0,113860.625934
48,48,2020-10-27 20:00:00+00:00,35.373,35.566,34.555,34.62,7054.394000000001,856.0,244223.12028000003
49,49,2020-10-27 21:00:00+00:00,34.614,34.905,34.373,34.51,6208.589000000001,655.0,214258.40639
50,50,2020-10-27 22:00:00+00:00,34.45,35.11,34.381,35.029,4300.731000000001,643.0,150650.30619900004
51,51,2020-10-27 23:00:00+00:00,35.007,35.292,34.451,34.869,11227.16699999999,1023.0,391480.08612299967
52,52,2020-10-28 00:00:00+00:00,34.935,34.936,34.867,34.868,7.424,8.0,258.86003200000005
54,1,2020-10-28 01:00:00+00:00,35.582,35.599,35.127,35.42,3149.6269999999995,307.0,111559.78833999998
55,2,2020-10-28 02:00:00+00:00,35.418,35.44,34.782,35.002,4352.076,484.0,152331.36415200002
56,3,2020-10-28 03:00:00+00:00,34.993,35.151,34.634,34.83,2209.746,307.0,76965.45318
57,4,2020-10-28 04:00:00+00:00,34.874,35.114,34.361,34.631,10316.433999999996,604.0,357268.42585399986
58,5,2020-10-28 05:00:00+00:00,34.701,34.729,34.089,34.472,4188.401000000001,421.0,144382.55927200004
59,6,2020-10-28 06:00:00+00:00,34.409,34.51,34.2,34.211,1473.2859999999998,165.0,50402.58734599999
60,7,2020-10-28 07:00:00+00:00,34.205,34.256,33.707,33.836,4656.671000000001,754.0,157563.11995600004
61,8,2020-10-28 08:00:00+00:00,33.832,34.156,33.555,33.931,5756.873999999999,767.0,195336.49169399997
62,9,2020-10-28 09:00:00+00:00,34.016,34.329,33.555,33.59,2965.39,444.0,99607.4501
63,10,2020-10-28 10:00:00+00:00,33.589,34.146,33.555,33.912,5136.137999999999,648.0,174176.71185599995
64,11,2020-10-28 11:00:00+00:00,33.9,34.018,32.799,32.974,10177.735,1494.0,335600.63388999994
65,12,2020-10-28 12:00:00+00:00,32.953,33.76,32.801,33.672,4693.141,768.0,158027.44375199996
66,13,2020-10-28 13:00:00+00:00,33.682,33.965,32.947,32.947,4807.639,709.0,158397.28213300003
67,14,2020-10-28 14:00:00+00:00,32.946,33.283,32.121,32.732,17150.534000000003,1964.0,561371.2788880001
68,15,2020-10-28 15:00:00+00:00,32.732,33.416,32.688,33.317,9694.329,1075.0,322985.959293
69,16,2020-10-28 16:00:00+00:00,33.301,33.328,32.2,32.683,6683.179000000003,837.0,218426.3392570001
70,17,2020-10-28 17:00:00+00:00,32.69,32.697,32.0,32.314,8913.98,853.0,288046.34972
71,18,2020-10-28 18:00:00+00:00,32.345,32.556,32.251,32.423,1673.2230000000009,218.0,54250.90932900003
72,19,2020-10-28 19:00:00+00:00,32.444,32.736,32.252,32.39,4152.691,450.0,134505.66149
73,20,2020-10-28 20:00:00+00:00,32.389,32.389,32.06,32.237,4846.403999999999,458.0,156233.52574799996
74,21,2020-10-28 21:00:00+00:00,32.263,32.281,32.0,32.122,5198.139999999999,519.0,166974.65307999996
75,22,2020-10-28 22:00:00+00:00,32.144,32.428,32.001,32.26,7832.399,772.0,252673.19174
76,23,2020-10-28 23:00:00+00:00,32.302,32.635,32.302,32.422,3149.2000000000003,427.0,102103.3624
77,24,2020-10-29 00:00:00+00:00,32.427,32.68,32.386,32.637,2571.6929999999998,316.0,83932.34444099998
78,25,2020-10-29 01:00:00+00:00,32.646,33.214,32.568,33.093,3604.339,415.0,119278.390527
79,26,2020-10-29 02:00:00+00:00,33.154,33.154,32.758,32.758,999.4600000000002,147.0,32740.31068000001
80,27,2020-10-29 03:00:00+00:00,32.741,33.137,32.523,33.121,1486.9810000000002,195.0,49250.29770100001
81,28,2020-10-29 04:00:00+00:00,33.12,33.126,32.665,32.68,4376.761,349.0,143032.54948
82,29,2020-10-29 05:00:00+00:00,32.77,32.933,32.607,32.842,1967.688,217.0,64622.809296
83,30,2020-10-29 06:00:00+00:00,32.896,33.23,32.6,32.8,6548.829000000001,416.0,214801.5912
84,31,2020-10-29 07:00:00+00:00,32.81,32.914,32.0,32.038,7990.687999999997,953.0,256005.66214399989
85,32,2020-10-29 08:00:00+00:00,32.031,32.108,31.043,31.191,11860.560999999992,1068.0,369942.7581509997
86,33,2020-10-29 09:00:00+00:00,31.182,31.408,31.055,31.372,7973.174,831.0,250134.414728
87,34,2020-10-29 10:00:00+00:00,31.373,31.373,30.465,30.526,16090.283999999998,1263.0,491172.0093839999
88,35,2020-10-29 11:00:00+00:00,30.506,30.506,28.984,29.007,28640.239000000005,1931.0,830767.4126730001
89,36,2020-10-29 12:00:00+00:00,29.018,29.693,28.124,29.502,17454.297,1737.0,514936.670094
90,37,2020-10-29 13:00:00+00:00,29.541,30.419,29.38,30.236,8260.378999999995,1107.0,249760.81944399988
91,38,2020-10-29 14:00:00+00:00,30.2,30.861,30.014,30.473,8763.243000000004,890.0,267042.3039390001
92,39,2020-10-29 15:00:00+00:00,30.421,30.837,30.11,30.16,8833.938000000002,951.0,266431.57008000003
93,40,2020-10-29 16:00:00+00:00,30.196,30.304,29.105,29.216,7307.619999999998,831.0,213499.42591999995
94,41,2020-10-29 17:00:00+00:00,29.2,29.2,28.594,28.823,7884.605,1028.0,227257.969915
95,42,2020-10-29 18:00:00+00:00,28.855,29.219,28.464,29.086,4753.838000000001,673.0,138270.132068
96,43,2020-10-29 19:00:00+00:00,29.064,29.145,28.573,28.672,3259.939,506.0,93468.971008
97,44,2020-10-29 20:00:00+00:00,28.642,29.083,28.556,29.041,3279.345999999998,419.0,95235.48718599995
98,45,2020-10-29 21:00:00+00:00,28.975,29.088,28.8,29.01,2506.1279999999992,345.0,72702.77327999998
99,46,2020-10-29 22:00:00+00:00,29.01,29.019,28.6,28.606,5571.383,640.0,159374.982098
100,47,2020-10-29 23:00:00+00:00,28.632,29.425,28.587,29.229,3980.4950000000017,494.0,116345.88835500005
101,48,2020-10-30 00:00:00+00:00,29.178,29.55,28.485,29.44,3463.927999999999,557.0,101978.04031999996
102,49,2020-10-30 01:00:00+00:00,29.477,29.634,28.57,28.583,7697.263999999999,812.0,220010.896912
103,50,2020-10-30 02:00:00+00:00,28.572,28.616,27.73,27.8,18917.944000000007,1221.0,525918.8432000002
104,51,2020-10-30 03:00:00+00:00,27.782,28.457,27.778,27.811,6300.598999999999,543.0,175225.95878899997
105,52,2020-10-30 04:00:00+00:00,27.773,28.369,27.773,27.99,4400.7210000000005,478.0,123176.18079
106,53,2020-10-30 05:00:00+00:00,28.0,29.43,27.921,29.056,28235.764000000003,2548.0,820418.3587840002
107,54,2020-10-30 06:00:00+00:00,29.068,29.634,29.047,29.105,5243.837999999998,697.0,152621.90498999995
108,55,2020-10-30 07:00:00+00:00,29.105,29.318,28.608,29.12,7126.445999999999,667.0,207522.10752
109,56,2020-10-30 08:00:00+00:00,29.182,30.943,28.996,29.795,11630.859,1656.0,346541.443905
110,57,2020-10-30 09:00:00+00:00,29.751,30.087,28.955,29.727,11436.221999999996,1616.0,339964.5713939999
111,58,2020-10-30 10:00:00+00:00,29.699,30.414,29.602,30.327,5530.755999999999,642.0,167731.23721199998
112,59,2020-10-30 11:00:00+00:00,30.368,31.243,30.23,31.011,8847.697,808.0,274375.931667
113,60,2020-10-30 12:00:00+00:00,30.967,31.5,30.545,31.21,14404.428999999998,1624.0,449562.22909
114,61,2020-10-30 13:00:00+00:00,31.21,31.353,30.458,30.741,7684.999,851.0,236244.554259
115,62,2020-10-30 14:00:00+00:00,30.655,30.954,30.305,30.41,3065.9099999999994,422.0,93234.32309999998
116,63,2020-10-30 15:00:00+00:00,30.376,31.358,30.376,31.318,5296.856000000001,575.0,165886.93620800003
117,64,2020-10-30 16:00:00+00:00,31.293,31.299,30.703,31.14,3719.178000000001,462.0,115815.20292000004
118,65,2020-10-30 17:00:00+00:00,31.15,31.885,31.121,31.588,5311.382999999998,697.0,167775.96620399994
119,66,2020-10-30 18:00:00+00:00,31.561,31.975,31.497,31.763,4439.373000000002,559.0,141007.80459900008
120,67,2020-10-30 19:00:00+00:00,31.76,31.789,31.318,31.743,4563.621000000001,515.0,144863.02140300002
121,68,2020-10-30 20:00:00+00:00,31.751,32.0,31.152,31.167,3901.669,509.0,121603.317723
122,69,2020-10-30 21:00:00+00:00,31.245,31.33,30.831,31.31,3952.7119999999977,425.0,123759.41271999992
123,70,2020-10-30 22:00:00+00:00,31.33,31.531,31.19,31.317,3009.580999999999,288.0,94251.04817699998
124,71,2020-10-30 23:00:00+00:00,31.317,31.447,31.065,31.089,2069.9700000000003,244.0,64353.29733000001
125,72,2020-10-31 00:00:00+00:00,31.087,31.157,31.066,31.093,61.489,12.0,1911.877477
127,1,2020-10-31 01:00:00+00:00,31.48,32.6,31.477,32.592,5930.609,752.0,193290.408528
128,2,2020-10-31 02:00:00+00:00,32.599,32.938,30.658,31.12,32885.812,2585.0,1023406.46944
129,3,2020-10-31 03:00:00+00:00,31.072,31.073,30.033,30.812,18674.022,2319.0,575383.965864
130,4,2020-10-31 04:00:00+00:00,30.813,31.02,30.517,30.872,3449.734,435.0,106500.188048
131,5,2020-10-31 05:00:00+00:00,30.871,30.981,30.587,30.588,2241.083,244.0,68550.24680400001
132,6,2020-10-31 06:00:00+00:00,30.556,30.855,30.208,30.698,3445.121,489.0,105758.324458
133,7,2020-10-31 07:00:00+00:00,30.686,30.702,30.268,30.362,2119.983,277.0,64366.923846000005
134,8,2020-10-31 08:00:00+00:00,30.364,30.762,30.27,30.503,3086.5530000000003,389.0,94149.126159
135,9,2020-10-31 09:00:00+00:00,30.535,30.942,30.535,30.761,2086.374,264.0,64178.950614
136,10,2020-10-31 10:00:00+00:00,30.781,31.139,30.107,30.258,5668.949,598.0,171531.05884199997
137,11,2020-10-31 11:00:00+00:00,30.3,30.414,29.741,30.137,5056.879,545.0,152399.162423
138,12,2020-10-31 12:00:00+00:00,30.165,30.909,30.137,30.781,6171.133999999997,690.0,189953.6756539999
