,datetime,open,timeToMaturityinYears,instrumentName
0,2022-08-02 22:00:00,23097.46,0.0,spot
4,2022-08-02 22:00:00,23175.0,0.06506849315068494,BTCQ2022
5,2022-08-02 22:00:00,23240.0,0.16095890410958905,BTCU2022
7,2022-08-02 22:00:00,23320.0,0.23767123287671232,BTCV2022
8,2022-08-02 22:00:00,23280.0,0.31438356164383563,BTCX2022
9,2022-08-02 22:00:00,23720.0,0.41027397260273973,BTCZ2022
1,2022-08-02 22:00:00,23755.0,0.486986301369863,BTCF2023
2,2022-08-02 22:00:00,23860.0,0.6404109589041095,BTCH2023
3,2022-08-02 22:00:00,24005.0,0.908904109589041,BTCM2023
6,2022-08-02 22:00:00,24150.0,1.1582191780821918,BTCU2023
10,2022-08-02 22:00:00,24300.0,1.4075342465753424,BTCZ2023
