,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-26 22:00:00,20944.61,0.0,spot
3,2022-07-26 22:00:00,21015.0,0.007534246575342465,BTCN2022
4,2022-07-26 22:00:00,21000.0,0.08424657534246574,BTCQ2022
5,2022-07-26 22:00:00,21120.0,0.18013698630136987,BTCU2022
7,2022-07-26 22:00:00,21440.0,0.2568493150684931,BTCV2022
8,2022-07-26 22:00:00,22975.0,0.3335616438356165,BTCX2022
9,2022-07-26 22:00:00,21400.0,0.4294520547945205,BTCZ2022
1,2022-07-26 22:00:00,23125.0,0.6595890410958904,BTCH2023
2,2022-07-26 22:00:00,23265.0,0.928082191780822,BTCM2023
6,2022-07-26 22:00:00,23410.0,1.1773972602739726,BTCU2023
10,2022-07-26 22:00:00,22770.0,1.4267123287671235,BTCZ2023
