,datetime,open,timeToMaturityinYears,instrumentName
0,2022-06-27 22:00:00,20787.12,0.0,spot
3,2022-06-27 22:00:00,20765.0,0.08698630136986302,BTCN2022
4,2022-06-27 22:00:00,20760.0,0.1636986301369863,BTCQ2022
5,2022-06-27 22:00:00,20845.0,0.2595890410958904,BTCU2022
7,2022-06-27 22:00:00,20775.0,0.33630136986301373,BTCV2022
8,2022-06-27 22:00:00,20395.0,0.41301369863013704,BTCX2022
9,2022-06-27 22:00:00,20455.0,0.5089041095890411,BTCZ2022
1,2022-06-27 22:00:00,20995.0,0.7390410958904109,BTCH2023
2,2022-06-27 22:00:00,21395.0,1.0075342465753425,BTCM2023
6,2022-06-27 22:00:00,22080.0,1.2568493150684932,BTCU2023
10,2022-06-27 22:00:00,22450.0,1.5061643835616438,BTCZ2023
