,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-20 22:00:00,23609.65,0.0,spot
3,2022-07-20 22:00:00,23595.0,0.023972602739726023,BTCN2022
4,2022-07-20 22:00:00,23625.0,0.1006849315068493,BTCQ2022
5,2022-07-20 22:00:00,22800.0,0.1965753424657534,BTCU2022
7,2022-07-20 22:00:00,22895.0,0.2732876712328767,BTCV2022
8,2022-07-20 22:00:00,23395.0,0.35,BTCX2022
9,2022-07-20 22:00:00,23035.0,0.4458904109589041,BTCZ2022
1,2022-07-20 22:00:00,23830.0,0.676027397260274,BTCH2023
2,2022-07-20 22:00:00,24430.0,0.9445205479452056,BTCM2023
6,2022-07-20 22:00:00,25180.0,1.1938356164383561,BTCU2023
10,2022-07-20 22:00:00,25615.0,1.4431506849315068,BTCZ2023
