,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-03 22:00:00,19279.39,0.0,spot
3,2022-07-03 22:00:00,19270.0,0.07054794520547944,BTCN2022
4,2022-07-03 22:00:00,19285.0,0.14726027397260272,BTCQ2022
5,2022-07-03 22:00:00,19290.0,0.24315068493150688,BTCU2022
7,2022-07-03 22:00:00,20360.0,0.3198630136986302,BTCV2022
8,2022-07-03 22:00:00,20100.0,0.3965753424657534,BTCX2022
9,2022-07-03 22:00:00,20505.0,0.49246575342465754,BTCZ2022
1,2022-07-03 22:00:00,21065.0,0.7226027397260275,BTCH2023
2,2022-07-03 22:00:00,21665.0,0.991095890410959,BTCM2023
6,2022-07-03 22:00:00,22200.0,1.2404109589041097,BTCU2023
10,2022-07-03 22:00:00,22570.0,1.4897260273972603,BTCZ2023
