,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-11 22:00:00,20222.15,0.0,spot
3,2022-07-11 22:00:00,20190.0,0.04863013698630137,BTCN2022
4,2022-07-11 22:00:00,20130.0,0.12534246575342467,BTCQ2022
5,2022-07-11 22:00:00,20235.0,0.22123287671232875,BTCU2022
7,2022-07-11 22:00:00,19520.0,0.2979452054794521,BTCV2022
8,2022-07-11 22:00:00,19515.0,0.37465753424657533,BTCX2022
9,2022-07-11 22:00:00,19585.0,0.47054794520547955,BTCZ2022
1,2022-07-11 22:00:00,19985.0,0.7006849315068493,BTCH2023
2,2022-07-11 22:00:00,20560.0,0.9691780821917807,BTCM2023
6,2022-07-11 22:00:00,21100.0,1.2184931506849315,BTCU2023
10,2022-07-11 22:00:00,21450.0,1.4678082191780821,BTCZ2023
