,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-28 22:00:00,23931.34,0.0,spot
4,2022-07-28 22:00:00,23950.0,0.0020547945205479454,BTCN2022
5,2022-07-28 22:00:00,24010.0,0.07876712328767123,BTCQ2022
6,2022-07-28 22:00:00,24065.0,0.17465753424657532,BTCU2022
8,2022-07-28 22:00:00,24190.0,0.2513698630136986,BTCV2022
9,2022-07-28 22:00:00,23880.0,0.3280821917808219,BTCX2022
10,2022-07-28 22:00:00,24020.0,0.423972602739726,BTCZ2022
1,2022-07-28 22:00:00,24245.0,0.5006849315068492,BTCF2023
2,2022-07-28 22:00:00,24280.0,0.6541095890410958,BTCH2023
3,2022-07-28 22:00:00,24430.0,0.9226027397260275,BTCM2023
7,2022-07-28 22:00:00,24575.0,1.1719178082191781,BTCU2023
11,2022-07-28 22:00:00,24725.0,1.4212328767123288,BTCZ2023
