,datetime,open,timeToMaturityinYears,instrumentName
0,2022-06-29 22:00:00,20275.77,0.0,spot
3,2022-06-29 22:00:00,20240.0,0.0815068493150685,BTCN2022
4,2022-06-29 22:00:00,20185.0,0.15821917808219174,BTCQ2022
5,2022-06-29 22:00:00,19995.0,0.2541095890410959,BTCU2022
7,2022-06-29 22:00:00,18905.0,0.3308219178082191,BTCV2022
8,2022-06-29 22:00:00,18960.0,0.4075342465753425,BTCX2022
9,2022-06-29 22:00:00,19015.0,0.5034246575342466,BTCZ2022
1,2022-06-29 22:00:00,19565.0,0.7335616438356164,BTCH2023
2,2022-06-29 22:00:00,19945.0,1.002054794520548,BTCM2023
6,2022-06-29 22:00:00,20580.0,1.2513698630136987,BTCU2023
10,2022-06-29 22:00:00,20920.0,1.5006849315068493,BTCZ2023
