,datetime,open,timeToMaturityinYears,instrumentName
0,2022-06-23 22:00:00,20671.61,0.0,spot
2,2022-06-23 22:00:00,20740.0,0.0020547945205479454,BTCM2022
4,2022-06-23 22:00:00,20675.0,0.09794520547945207,BTCN2022
5,2022-06-23 22:00:00,20945.0,0.17465753424657532,BTCQ2022
6,2022-06-23 22:00:00,21350.0,0.2705479452054795,BTCU2022
8,2022-06-23 22:00:00,21120.0,0.3472602739726028,BTCV2022
9,2022-06-23 22:00:00,21490.0,0.423972602739726,BTCX2022
10,2022-06-23 22:00:00,21105.0,0.5198630136986301,BTCZ2022
1,2022-06-23 22:00:00,22065.0,0.75,BTCH2023
3,2022-06-23 22:00:00,22565.0,1.0184931506849315,BTCM2023
7,2022-06-23 22:00:00,23065.0,1.2678082191780822,BTCU2023
11,2022-06-23 22:00:00,23555.0,1.517123287671233,BTCZ2023
