,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-06 22:00:00,20337.45,0.0,spot
3,2022-07-06 22:00:00,20360.0,0.06232876712328767,BTCN2022
4,2022-07-06 22:00:00,20400.0,0.13904109589041094,BTCQ2022
5,2022-07-06 22:00:00,20660.0,0.23493150684931505,BTCU2022
7,2022-07-06 22:00:00,20955.0,0.3116438356164384,BTCV2022
8,2022-07-06 22:00:00,22010.0,0.38835616438356163,BTCX2022
9,2022-07-06 22:00:00,21085.0,0.4842465753424658,BTCZ2022
1,2022-07-06 22:00:00,22455.0,0.7143835616438355,BTCH2023
2,2022-07-06 22:00:00,23055.0,0.9828767123287673,BTCM2023
6,2022-07-06 22:00:00,23775.0,1.2321917808219178,BTCU2023
10,2022-07-06 22:00:00,24170.0,1.4815068493150685,BTCZ2023
