,datetime,open,timeToMaturityinYears,instrumentName
0,2022-06-30 22:00:00,18796.36,0.0,spot
3,2022-06-30 22:00:00,18700.0,0.07876712328767123,BTCN2022
4,2022-06-30 22:00:00,18715.0,0.15547945205479452,BTCQ2022
5,2022-06-30 22:00:00,19595.0,0.2513698630136986,BTCU2022
7,2022-06-30 22:00:00,19485.0,0.3280821917808219,BTCV2022
8,2022-06-30 22:00:00,19465.0,0.4047945205479452,BTCX2022
9,2022-06-30 22:00:00,19550.0,0.5006849315068492,BTCZ2022
1,2022-06-30 22:00:00,20065.0,0.7308219178082193,BTCH2023
2,2022-06-30 22:00:00,20465.0,0.9993150684931507,BTCM2023
6,2022-06-30 22:00:00,21105.0,1.2486301369863013,BTCU2023
10,2022-06-30 22:00:00,21455.0,1.497945205479452,BTCZ2023
