,datetime,open,timeToMaturityinYears,instrumentName
1,2022-02-27 23:00:00,39202.09,-0.006278538812785389,BTCG2022
0,2022-02-27 23:00:00,37840.44,0.0,spot
2,2022-02-27 23:00:00,37860.0,0.0704337899543379,BTCH2022
3,2022-02-27 23:00:00,37900.0,0.166324200913242,BTCJ2022
4,2022-02-27 23:00:00,37430.0,0.2430365296803653,BTCK2022
5,2022-02-27 23:00:00,38140.0,0.31974885844748857,BTCM2022
6,2022-02-27 23:00:00,39560.0,0.4156392694063927,BTCN2022
7,2022-02-27 23:00:00,42580.0,0.4923515981735159,BTCQ2022
8,2022-02-27 23:00:00,43605.0,0.8375570776255707,BTCZ2022
9,2022-02-27 23:00:00,47105.0,1.8348173515981734,BTCZ2023
