,datetime,open,timeToMaturityinYears,instrumentName
0,2022-08-01 22:00:00,23026.23,0.0,spot
4,2022-08-01 22:00:00,23050.0,0.06780821917808219,BTCQ2022
5,2022-08-01 22:00:00,23170.0,0.1636986301369863,BTCU2022
7,2022-08-01 22:00:00,23190.0,0.24041095890410957,BTCV2022
8,2022-08-01 22:00:00,23345.0,0.3171232876712329,BTCX2022
9,2022-08-01 22:00:00,23010.0,0.41301369863013704,BTCZ2022
1,2022-08-01 22:00:00,23255.0,0.4897260273972603,BTCF2023
2,2022-08-01 22:00:00,23355.0,0.6431506849315068,BTCH2023
3,2022-08-01 22:00:00,23500.0,0.9116438356164382,BTCM2023
6,2022-08-01 22:00:00,23640.0,1.160958904109589,BTCU2023
10,2022-08-01 22:00:00,23785.0,1.4102739726027396,BTCZ2023
