,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-25 22:00:00,22025.41,0.0,spot
3,2022-07-25 22:00:00,22045.0,0.010273972602739727,BTCN2022
4,2022-07-25 22:00:00,22045.0,0.08698630136986302,BTCQ2022
5,2022-07-25 22:00:00,22000.0,0.1828767123287671,BTCU2022
7,2022-07-25 22:00:00,21735.0,0.2595890410958904,BTCV2022
8,2022-07-25 22:00:00,21135.0,0.33630136986301373,BTCX2022
9,2022-07-25 22:00:00,21405.0,0.4321917808219178,BTCZ2022
1,2022-07-25 22:00:00,21280.0,0.6623287671232877,BTCH2023
2,2022-07-25 22:00:00,21410.0,0.9308219178082192,BTCM2023
6,2022-07-25 22:00:00,21540.0,1.18013698630137,BTCU2023
10,2022-07-25 22:00:00,21670.0,1.4294520547945206,BTCZ2023
