,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-10 22:00:00,21024.65,0.0,spot
3,2022-07-10 22:00:00,21045.0,0.05136986301369863,BTCN2022
4,2022-07-10 22:00:00,20995.0,0.1280821917808219,BTCQ2022
5,2022-07-10 22:00:00,21005.0,0.22397260273972602,BTCU2022
7,2022-07-10 22:00:00,20795.0,0.30068493150684933,BTCV2022
8,2022-07-10 22:00:00,20630.0,0.3773972602739726,BTCX2022
9,2022-07-10 22:00:00,20690.0,0.4732876712328767,BTCZ2022
1,2022-07-10 22:00:00,21090.0,0.7034246575342465,BTCH2023
2,2022-07-10 22:00:00,21690.0,0.9719178082191781,BTCM2023
6,2022-07-10 22:00:00,22285.0,1.2212328767123288,BTCU2023
10,2022-07-10 22:00:00,22655.0,1.4705479452054793,BTCZ2023
