,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-17 22:00:00,21015.92,0.0,spot
3,2022-07-17 22:00:00,21080.0,0.03219178082191781,BTCN2022
4,2022-07-17 22:00:00,21065.0,0.1089041095890411,BTCQ2022
5,2022-07-17 22:00:00,21250.0,0.2047945205479452,BTCU2022
7,2022-07-17 22:00:00,22320.0,0.2815068493150685,BTCV2022
8,2022-07-17 22:00:00,21755.0,0.3582191780821918,BTCX2022
9,2022-07-17 22:00:00,22210.0,0.4541095890410959,BTCZ2022
1,2022-07-17 22:00:00,22200.0,0.6842465753424657,BTCH2023
2,2022-07-17 22:00:00,22800.0,0.9527397260273973,BTCM2023
6,2022-07-17 22:00:00,23500.0,1.2020547945205482,BTCU2023
10,2022-07-17 22:00:00,23890.0,1.4513698630136986,BTCZ2023
