,datetime,open,timeToMaturityinYears,instrumentName
0,2022-08-03 22:00:00,23278.1,0.0,spot
4,2022-08-03 22:00:00,23370.0,0.06232876712328767,BTCQ2022
5,2022-08-03 22:00:00,23320.0,0.15821917808219174,BTCU2022
7,2022-08-03 22:00:00,22860.0,0.23493150684931505,BTCV2022
8,2022-08-03 22:00:00,22980.0,0.3116438356164384,BTCX2022
9,2022-08-03 22:00:00,23165.0,0.4075342465753425,BTCZ2022
1,2022-08-03 22:00:00,22730.0,0.4842465753424658,BTCF2023
2,2022-08-03 22:00:00,22830.0,0.6376712328767123,BTCH2023
3,2022-08-03 22:00:00,22970.0,0.9061643835616439,BTCM2023
6,2022-08-03 22:00:00,23110.0,1.1554794520547944,BTCU2023
10,2022-08-03 22:00:00,23250.0,1.404794520547945,BTCZ2023
