,datetime,open,timeToMaturityinYears,instrumentName
0,2022-08-04 22:00:00,22496.45,0.0,spot
4,2022-08-04 22:00:00,22505.0,0.05958904109589041,BTCQ2022
5,2022-08-04 22:00:00,22685.0,0.15547945205479452,BTCU2022
7,2022-08-04 22:00:00,23340.0,0.23219178082191777,BTCV2022
8,2022-08-04 22:00:00,22845.0,0.3089041095890411,BTCX2022
9,2022-08-04 22:00:00,23425.0,0.4047945205479452,BTCZ2022
1,2022-08-04 22:00:00,23215.0,0.4815068493150685,BTCF2023
2,2022-08-04 22:00:00,23315.0,0.634931506849315,BTCH2023
3,2022-08-04 22:00:00,23455.0,0.9034246575342466,BTCM2023
6,2022-08-04 22:00:00,23600.0,1.1527397260273975,BTCU2023
10,2022-08-04 22:00:00,23740.0,1.4020547945205482,BTCZ2023
