,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-14 22:00:00,20464.51,0.0,spot
3,2022-07-14 22:00:00,20440.0,0.04041095890410959,BTCN2022
4,2022-07-14 22:00:00,20445.0,0.11712328767123288,BTCQ2022
5,2022-07-14 22:00:00,20750.0,0.213013698630137,BTCU2022
7,2022-07-14 22:00:00,21070.0,0.2897260273972603,BTCV2022
8,2022-07-14 22:00:00,21320.0,0.3664383561643835,BTCX2022
9,2022-07-14 22:00:00,21365.0,0.46232876712328763,BTCZ2022
1,2022-07-14 22:00:00,21765.0,0.6924657534246575,BTCH2023
2,2022-07-14 22:00:00,22365.0,0.9609589041095891,BTCM2023
6,2022-07-14 22:00:00,22995.0,1.2102739726027396,BTCU2023
10,2022-07-14 22:00:00,23375.0,1.4595890410958903,BTCZ2023
