,datetime,open,timeToMaturityinYears,instrumentName
7,2021-12-29 23:00:00,47230.0,-0.01449771689497717,BTCZ2021
0,2021-12-29 23:00:00,47286.31,0.0,spot
1,2021-12-29 23:00:00,47300.0,0.08139269406392693,BTCF2022
2,2021-12-29 23:00:00,47340.0,0.15810502283105024,BTCG2022
3,2021-12-29 23:00:00,47295.0,0.23481735159817355,BTCH2022
4,2021-12-29 23:00:00,47975.0,0.3307077625570776,BTCJ2022
5,2021-12-29 23:00:00,48625.0,0.4074200913242009,BTCK2022
6,2021-12-29 23:00:00,48450.0,0.4841324200913242,BTCM2022
8,2021-12-29 23:00:00,50595.0,1.0019406392694064,BTCZ2022
9,2021-12-29 23:00:00,54000.0,1.999200913242009,BTCZ2023
