,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-13 22:00:00,19909.96,0.0,spot
3,2022-07-13 22:00:00,19890.0,0.043150684931506846,BTCN2022
4,2022-07-13 22:00:00,19975.0,0.11986301369863012,BTCQ2022
5,2022-07-13 22:00:00,20250.0,0.21575342465753425,BTCU2022
7,2022-07-13 22:00:00,20075.0,0.2924657534246575,BTCV2022
8,2022-07-13 22:00:00,20335.0,0.3691780821917809,BTCX2022
9,2022-07-13 22:00:00,20795.0,0.46506849315068494,BTCZ2022
1,2022-07-13 22:00:00,21195.0,0.6952054794520548,BTCH2023
2,2022-07-13 22:00:00,21795.0,0.9636986301369864,BTCM2023
6,2022-07-13 22:00:00,22410.0,1.2130136986301367,BTCU2023
10,2022-07-13 22:00:00,22785.0,1.4623287671232876,BTCZ2023
