,Date,rs,rf,rh,h
0,2021-05-27 20:00:00+00:00,-0.006236778632248,0.006582792406038,-0.011691863510343868,0.8286885779798019
1,2021-05-26 20:00:00+00:00,0.1093674654795747,0.0326430667787524,0.08231652888979066,0.8286885779798019
2,2021-05-25 20:00:00+00:00,-0.0601403908701369,-0.0622446157222066,-0.008558988780402295,0.8286885779798019
3,2021-05-24 20:00:00+00:00,0.0331435515325862,0.0943300216439482,-0.045026659964341166,0.8286885779798019
4,2021-05-21 20:00:00+00:00,-0.1935926064821416,-0.1088085571403067,-0.10342419799350683,0.8286885779798019
0,2021-05-20 20:00:00+00:00,0.0536505315182455,0.0212907228088815,0.03513364114368246,0.869716380264866
1,2021-05-19 20:00:00+00:00,-0.289594551150155,-0.0904653208639313,-0.21091537974887697,0.869716380264866
2,2021-05-18 20:00:00+00:00,0.0096125944278541,-0.0196937896817927,0.02674060590360041,0.869716380264866
3,2021-05-17 20:00:00+00:00,-0.0424759716808264,-0.1316446932912137,0.07201757444948645,0.869716380264866
4,2021-05-14 20:00:00+00:00,0.131486971426904,0.0368500039875044,0.09943791934614579,0.869716380264866
0,2021-05-13 20:00:00+00:00,-0.0959277576586367,-0.1196032473721272,0.007697308391920191,0.8664067935224481
1,2021-05-12 20:00:00+00:00,-0.0361123985901184,-0.0423689719148536,0.0005963665114725666,0.8664067935224481
2,2021-05-11 20:00:00+00:00,0.0602415822088879,0.0189470032696767,0.043825769859147976,0.8664067935224481
3,2021-05-10 20:00:00+00:00,-0.1038310926950847,-0.0359908941145356,-0.07264833752930397,0.8664067935224481
4,2021-05-07 20:00:00+00:00,0.020604522040491,0.0263839887033625,-0.002254745012321799,0.8664067935224481
0,2021-05-06 20:00:00+00:00,0.0099340125028215,-0.0192018525217622,0.026759172778569047,0.8762258879282059
1,2021-05-05 20:00:00+00:00,0.0682782982331419,0.0504024053813606,0.024114405824141823,0.8762258879282059
2,2021-05-04 20:00:00+00:00,-0.009166570295154,-0.0593935613094369,0.04287560570042567,0.8762258879282059
3,2021-05-03 20:00:00+00:00,0.0632777074520325,0.0095123512143707,0.054942739062935585,0.8762258879282059
4,2021-04-30 20:00:00+00:00,0.0812178913366517,0.0820866754207396,0.00929142127903973,0.8762258879282059
0,2021-04-29 20:00:00+00:00,-0.0131888043028433,-0.0494098012974383,0.030209050951593118,0.8783248285737676
1,2021-04-28 20:00:00+00:00,0.0223891505129611,0.0130118398563282,0.010960528501722317,0.8783248285737676
2,2021-04-27 20:00:00+00:00,0.028829041013232,0.0118940102983315,0.018382236456895358,0.8783248285737676
3,2021-04-26 20:00:00+00:00,0.0954041100246024,0.0622769295215145,0.04070473657851757,0.8783248285737676
4,2021-04-23 20:00:00+00:00,-0.0813664318411427,-0.038809980592807,-0.04727866229001425,0.8783248285737676
0,2021-04-22 20:00:00+00:00,-0.0677207934445711,-0.0532982556894824,-0.02072943669786957,0.881667817057183
1,2021-04-21 20:00:00+00:00,-0.0129360285906692,-0.0196379597053674,0.004378128474218996,0.881667817057183
2,2021-04-20 20:00:00+00:00,0.0222630929755032,0.0095938772214273,0.01380448018857276,0.881667817057183
3,2021-04-19 20:00:00+00:00,-0.0791634323211523,-0.0983847957924487,0.007579275816792658,0.881667817057183
4,2021-04-16 20:00:00+00:00,0.0249661795218893,-0.0303926775383929,0.05176242518168705,0.881667817057183
0,2021-04-15 20:00:00+00:00,0.0630314263567124,0.0223297272189313,0.04352498281548353,0.8735638975782547
1,2021-04-14 20:00:00+00:00,-0.0295534611506044,-0.0196825752526951,-0.012359473998482765,0.8735638975782547
2,2021-04-13 20:00:00+00:00,0.0828660106100438,0.0501163725785027,0.03908615684788301,0.8735638975782547
3,2021-04-12 20:00:00+00:00,0.1398831035613067,0.030881808175611,0.11290587084715595,0.8735638975782547
4,2021-04-09 20:00:00+00:00,0.0146298918951524,0.0101963666970122,0.005722714062173307,0.8735638975782547
0,2021-04-08 20:00:00+00:00,0.0785247673296312,0.0325507191191601,0.05002227167425512,0.8756333631535307
1,2021-04-07 20:00:00+00:00,-0.0841276743375705,-0.0448583056182188,-0.044848245323720656,0.8756333631535307
2,2021-04-06 20:00:00+00:00,0.047001213349861,-0.0193823945737203,0.06397308469641645,0.8756333631535307
3,2021-04-05 20:00:00+00:00,0.13206900303854,0.0049767853219897,0.12771116376935301,0.8756333631535307
4,2021-04-02 20:00:00+00:00,0.0265554785070894,0.0,0.0265554785070894,0.8756333631535307
0,2021-04-01 20:00:00+00:00,0.033171558002588,0.0038323799300737,0.02980007710403515,0.8797355586005319
1,2021-03-31 20:00:00+00:00,-0.0074943505186081,-0.0052449855910395,-0.0028801501898232246,0.8797355586005319
2,2021-03-30 20:00:00+00:00,0.0375648601028599,0.0255669463819577,0.015072708245818495,0.8797355586005319
3,2021-03-29 20:00:00+00:00,0.0460286307550656,0.0714968252018487,-0.016869668702047348,0.8797355586005319
4,2021-03-26 20:00:00+00:00,0.0624378980174065,0.0418557125064962,0.025615939394880792,0.8797355586005319
0,2021-03-25 20:00:00+00:00,-0.0461553031278769,-0.0479674761149589,-0.0035299864725528984,0.8886295487627518
1,2021-03-24 20:00:00+00:00,-0.0287728851573754,-0.0048083558280386,-0.02450003808761471,0.8886295487627518
2,2021-03-23 20:00:00+00:00,-0.011165966338688,-0.0142878829036679,0.0015306685987734412,0.8886295487627518
3,2021-03-22 20:00:00+00:00,-0.0095204773817014,-0.0636012512021833,0.04699747377484117,0.8886295487627518
4,2021-03-19 20:00:00+00:00,0.041621743206258,0.0283622645270892,0.016418196877660923,0.8886295487627518
