x,y
-1.16706489,-1.57207824
0.120821366,1.114812825
-1.256634607,-1.550949715
-0.344655165,-0.630593126
-1.156698419,0.141468871
0.949739531,0.979978679
-1.084363836,-1.221779762
1.059127924,-0.167488099
1.32467519,0.672896578
-0.470897091,-0.643997152
0.651629746,-1.786919474
-0.179814576,0.854429235
0.806160767,-0.104783674
0.395539576,-0.412415002
0.076938999,-1.418377449
-0.766541071,-0.118759131
1.771856909,0.117974991
-1.314766271,0.711770798
-2.096959527,-1.822075579
0.139088332,0.329532007
1.350612463,0.053835242
-1.374572548,-0.051582295
-1.302320754,-1.320702769
0.411921186,-0.853009456
0.074727154,1.369065344
0.482559901,-0.637099242
0.273289749,0.678704952
0.765732433,1.300482954
0.979835341,0.979046799
0.13654528,0.565732434
-0.836372154,-1.023940193
0.578774116,0.606150068
-0.243700247,-0.676028901
0.399313303,0.645008157
-0.706521911,0.661921707
1.087134764,-0.506797038
-0.127193227,0.062362038
0.071757498,1.330069489
-2.049821938,-0.653614693
-0.428565489,-0.643277042
1.400459221,0.126778793
0.19623191,-0.740458354
0.73952733,0.495851891
-0.49552294,1.106501274
-1.39871916,1.36042493
-1.099698301,0.94029541
1.666731078,1.175133889
0.149670601,-0.969891533
-0.388894902,-0.471819313
-0.35874515,0.665406401
0.988959525,0.030422206
0.278383087,-0.409828565
1.455562663,0.795409494
-0.250182316,-1.360909246
-0.729667895,0.687600838
1.48729566,1.073446822
1.134937937,-0.049203267
-0.473657687,-0.382211634
-1.635703698,0.472608022
0.684659344,-1.039261024
0.451803337,1.020990137
-0.327836669,-0.539930544
0.27468947,0.802372679
-0.251921664,-1.302742398
-0.353997633,-1.30046393
-0.753512874,0.152820249
0.990510407,0.465601649
1.081183191,0.417100536
1.838607095,1.399479729
-0.796442406,0.474619619
-0.995283885,-0.207495823
-0.240728864,-2.012183002
0.107449425,0.230461646
-0.169689927,-0.238215085
1.54896894,-0.824041278
-0.316895178,-0.042296997
0.430363642,-0.738859153
-0.310282035,-0.382344382
1.4051081,0.576049077
1.188908024,0.624485369
-1.162678535,-0.378368733
1.37417318,0.210216683
0.762376193,0.895211456
0.306097802,1.368165148
-0.073436538,0.504534651
-0.606780147,-1.209295394
0.043580811,-0.883477556
0.558837981,-0.152956186
-0.381883344,-1.265087689
-0.294882281,0.410570788
1.20626959,0.705269306
0.849496408,0.418011715
-2.030197364,0.080852554
-1.489088518,-1.859495667
-0.440744812,-1.143028936
0.109578346,-2.531790953
0.113281229,1.231960707
0.826960607,0.511283965
0.984366666,1.871152294
-2.670493848,-0.995312222
1.621602978,0.924775281
1.023553065,-0.896099735
-0.922290818,-0.089482056
-1.753736748,-0.652361506
-1.222913013,-2.284954607
0.117612017,1.323390597
-1.253212955,-0.87871903
1.1529819,1.804995651
-1.867425352,0.247548737
2.147395309,2.54606788
-0.133954464,-0.411394745
-0.062190408,-1.393490266
0.367233304,0.876527609
-0.290152848,0.620457636
1.874361495,0.962828533
-0.773428653,0.673132412
1.245064215,0.873055893
-1.167358968,0.677130151
-1.062345372,0.174267314
0.061741867,-0.416927729
1.920300206,0.528048304
-0.523581051,-0.684965699
0.528868771,-1.097014025
-0.708786387,-0.259952251
0.424088104,-0.195767543
0.516256562,0.681455867
-0.808179363,0.161685868
0.372784977,0.568106028
0.471930462,0.882610682
0.158685224,-0.315397501
1.857385516,-0.100817573
0.100877773,0.448028157
0.849993011,1.287411984
-1.596588873,-1.460796149
-0.109019705,-0.170459582
0.742440515,0.607902859
-1.624153398,-1.665051229
0.525519035,-0.011138661
-0.0060942,-0.053876508
1.311343915,0.351008748
0.930178582,-1.306547567
0.469403983,0.726069165
0.241097832,-0.013675188
-0.662288343,0.664112345
0.09736479,0.946875485
0.351745249,-0.109343765
-1.782704058,0.389635203
0.502239261,1.000732529
0.412043577,0.020321151
0.06963309,-0.070707358
-0.105612258,0.062145111
-1.271520229,-0.84938738
0.248882989,0.859893371
-0.003797089,0.371753007
1.330926082,2.089327067
-1.374841273,0.561837255
-1.273544157,-1.944278963
0.740176498,2.091535104
1.42692467,-0.513974434
-0.332810296,0.656455953
0.314223023,-0.613662022
0.83018902,0.451413181
-0.134079198,-0.109269286
1.301495067,-0.408716292
-5.098863854,-2.98628606
0.351619257,-0.487078701
1.071996866,2.130251151
1.091948347,-0.518263409
-0.766793502,-0.483512997
-0.057306058,0.517248628
0.238261377,1.305367244
-1.212016083,-1.184487918
-0.299134295,-1.117784512
-0.25586402,-0.845446625
-1.029918966,-0.586082495
-0.627910503,-0.301468866
-0.184882736,-1.273879849
0.940349671,0.002740251
-1.038677879,0.612661363
-2.041683408,-1.371840431
-0.637367726,0.406098614
0.55160946,0.638183819
0.569609834,0.5725905
-1.372308642,-0.084058781
0.057576276,1.422296492
0.786398279,0.90045537
-0.107454865,-0.092011659
-0.119823295,0.4489086
0.73865564,0.226654634
-0.695256147,-0.205151869
-1.11787835,-1.209761359
-0.73700283,-0.487375847
1.950471174,-0.421550858
-0.220330173,0.198822209
0.337343029,1.381387652
-0.452363388,-1.057535912
-1.384053558,0.459812517
-1.486088038,-1.474020924
0.869562006,1.267293248
1.295405985,2.196898596
-0.104787623,1.53027307
-0.31141226,-0.703917796
-0.730873825,-0.265923573
1.399417858,-0.12482497
-0.097182334,0.481327538
0.717065088,0.312908357
-0.444117651,-0.631213469
-0.751089014,0.120348932
-0.406697146,1.096570473
0.082595374,0.406872061
-0.851770749,-0.493873224
0.498047214,0.564080834
-0.503585711,-1.169130612
0.516526295,-0.145444422
-0.06072457,-0.686142158
-0.023860839,0.660108603
-0.587028886,-0.185807806
0.236062498,-0.918178627
0.437916358,-0.825998772
-0.980104351,-1.420632753
-0.289457367,0.738488503
-0.031775044,0.691382473
1.15739965,0.24172683
-0.233193206,-1.001738449
-1.107599648,0.867908246
-0.125505827,-0.434455868
0.637535926,-0.08158485
-1.965182744,-0.924089657
0.705937309,0.089139652
0.487081007,0.01504563
-0.612061229,0.455074079
0.467431955,1.098045168
0.284681251,-0.587697608
0.657575949,0.807035205
1.198447122,1.561025063
-0.817368524,-0.52665719
-0.447254889,-0.836855827
-0.957896874,-1.121351341
0.252728634,-1.762408523
-1.201369853,-0.424391275
-0.147541865,0.761743644
0.557667724,-0.046562902
-0.439096324,-0.747904539
-0.345370187,0.888595025
0.855289422,0.698771585
1.772222731,1.965755936
-0.562305972,-0.392899663
0.569263714,0.318043504
-0.402918809,0.417617469
0.036601031,1.513798832
-0.566217788,-0.380371243
1.4629399,0.523817417
