,ERM,ES1,ES5,VaR1,VaR5,Var
copula,0.012046411607422656,0.03698707382487038,0.020541378590826758,0.020008052501470634,0.01174116166717964,9.577925346890548e-05
cross hedge,0.012369580867025921,0.03777462540446923,0.02105391855416044,0.02100116427747374,0.012867414549109734,9.759050418188258e-05
% relative diff,-2.6126128530737116,-2.0848693300494463,-2.434416006764691,-4.728841519840583,-8.75275198161714,-1.8559702382533165
spot,0.0666166329693142,0.17792788586002334,0.11624410458322691,0.14247568241126574,0.06581726012264598,0.0020863325355087274
