,Date,ada Price
0,2017-12-30 18:00:00+00:00,0.59799992
1,2017-12-30 19:00:00+00:00,0.61987691
2,2017-12-30 20:00:00+00:00,0.66777808
3,2017-12-30 21:00:00+00:00,0.65351005
4,2017-12-30 22:00:00+00:00,0.631
5,2017-12-30 23:00:00+00:00,0.6188
6,2017-12-31 00:00:00+00:00,0.59002996
7,2017-12-31 01:00:00+00:00,0.71989996
8,2017-12-31 02:00:00+00:00,0.71278098
9,2017-12-31 03:00:00+00:00,0.6751
10,2017-12-31 04:00:00+00:00,0.64934958
11,2017-12-31 05:00:00+00:00,0.6720001999999999
12,2017-12-31 06:00:00+00:00,0.6610060000000001
13,2017-12-31 07:00:00+00:00,0.66
14,2017-12-31 08:00:00+00:00,0.68499992
15,2017-12-31 09:00:00+00:00,0.67
16,2017-12-31 10:00:00+00:00,0.6709999999999999
17,2017-12-31 11:00:00+00:00,0.667
18,2017-12-31 12:00:00+00:00,0.68179999
19,2017-12-31 13:00:00+00:00,0.68499
20,2017-12-31 14:00:00+00:00,0.721
21,2017-12-31 15:00:00+00:00,0.70789998
22,2017-12-31 16:00:00+00:00,0.70001108
23,2017-12-31 17:00:00+00:00,0.7126600000000001
24,2017-12-31 18:00:00+00:00,0.722119
25,2017-12-31 19:00:00+00:00,0.722
26,2017-12-31 20:00:00+00:00,0.726
27,2017-12-31 21:00:00+00:00,0.722
28,2017-12-31 22:00:00+00:00,0.7279999
29,2017-12-31 23:00:00+00:00,0.7176
30,2018-01-01 00:00:00+00:00,0.7034001
31,2018-01-01 01:00:00+00:00,0.70979982
32,2018-01-01 02:00:00+00:00,0.68400399
33,2018-01-01 03:00:00+00:00,0.687
34,2018-01-01 04:00:00+00:00,0.6830001
35,2018-01-01 05:00:00+00:00,0.687
36,2018-01-01 06:00:00+00:00,0.68100041
37,2018-01-01 07:00:00+00:00,0.70920103
38,2018-01-01 08:00:00+00:00,0.69899576
39,2018-01-01 09:00:00+00:00,0.7
40,2018-01-01 10:00:00+00:00,0.70197997
41,2018-01-01 11:00:00+00:00,0.69999956
42,2018-01-01 12:00:00+00:00,0.6809999999999999
43,2018-01-01 13:00:00+00:00,0.68063694
44,2018-01-01 14:00:00+00:00,0.655
45,2018-01-01 15:00:00+00:00,0.679
46,2018-01-01 16:00:00+00:00,0.67
47,2018-01-01 17:00:00+00:00,0.662
48,2018-01-01 18:00:00+00:00,0.68063693
49,2018-01-01 19:00:00+00:00,0.6751
50,2018-01-01 20:00:00+00:00,0.67510642
51,2018-01-01 21:00:00+00:00,0.68000142
52,2018-01-01 22:00:00+00:00,0.680636
53,2018-01-01 23:00:00+00:00,0.68063694
54,2018-01-02 00:00:00+00:00,0.7040000000000001
