,Date,open,high,low,close,volume
0,2019-12-12 23:00:00,7415.0,7415.0,7415.0,7415.0,0.0
1,2019-12-15 23:00:00,6980.0,6980.0,6980.0,6980.0,0.0
2,2019-12-16 23:00:00,7000.0,7000.0,7000.0,7000.0,0.0
3,2019-12-17 23:00:00,7560.0,7560.0,7560.0,7560.0,0.0
4,2019-12-18 23:00:00,7675.0,7675.0,7675.0,7675.0,0.0
5,2019-12-19 23:00:00,7690.0,7690.0,7690.0,7690.0,0.0
6,2019-12-22 23:00:00,8025.0,8025.0,8025.0,8025.0,0.0
7,2019-12-23 23:00:00,7840.0,7840.0,7840.0,7840.0,0.0
8,2019-12-25 23:00:00,7850.0,7850.0,7850.0,7850.0,0.0
9,2019-12-26 23:00:00,8205.0,8205.0,8205.0,8205.0,0.0
10,2019-12-29 23:00:00,7850.0,7850.0,7850.0,7850.0,0.0
11,2019-12-30 23:00:00,7770.0,7770.0,7770.0,7770.0,0.0
12,2020-01-01 23:00:00,7855.0,7855.0,7855.0,7855.0,0.0
13,2020-01-02 23:00:00,7835.0,7835.0,7835.0,7835.0,0.0
14,2020-01-05 23:00:00,8090.0,8090.0,8090.0,8090.0,0.0
15,2020-01-06 23:00:00,8690.0,8690.0,8690.0,8690.0,0.0
16,2020-01-07 23:00:00,8555.0,8555.0,8555.0,8555.0,0.0
17,2020-01-08 23:00:00,8300.0,8300.0,8300.0,8300.0,0.0
18,2020-01-09 23:00:00,8875.0,8875.0,8875.0,8875.0,0.0
19,2020-01-12 23:00:00,8475.0,8475.0,8475.0,8475.0,0.0
20,2020-01-13 23:00:00,9705.0,9705.0,9705.0,9705.0,0.0
21,2020-01-14 23:00:00,9420.0,9705.0,9420.0,9420.0,0.0
22,2020-01-15 23:00:00,9255.0,9300.0,9255.0,9300.0,0.0
23,2020-01-16 23:00:00,9740.0,9740.0,9465.0,9465.0,0.0
24,2020-01-20 23:00:00,9155.0,9240.0,9155.0,9240.0,0.0
25,2020-01-21 23:00:00,9180.0,9200.0,9180.0,9200.0,0.0
26,2020-01-22 23:00:00,9125.0,9125.0,8860.0,8860.0,0.0
27,2020-01-23 23:00:00,8995.0,8995.0,8990.0,8990.0,0.0
28,2020-01-26 23:00:00,9840.0,9840.0,9550.0,9550.0,0.0
29,2020-01-27 23:00:00,9925.0,9925.0,9650.0,9650.0,0.0
30,2020-01-28 23:00:00,10025.0,10025.0,10025.0,10025.0,0.0
31,2020-01-29 23:00:00,10585.0,10585.0,10200.0,10200.0,0.0
32,2020-01-30 23:00:00,10085.0,10085.0,9910.0,9910.0,0.0
33,2020-02-02 23:00:00,10055.0,10055.0,9895.0,9895.0,0.0
34,2020-02-03 23:00:00,9905.0,9905.0,9755.0,9755.0,0.0
35,2020-02-04 23:00:00,10485.0,10485.0,10355.0,10355.0,0.0
36,2020-02-05 23:00:00,10505.0,10505.0,10445.0,10445.0,0.0
37,2020-02-06 23:00:00,10680.0,10680.0,10400.0,10400.0,0.0
38,2020-02-09 23:00:00,11105.0,11105.0,10535.0,10535.0,0.0
39,2020-02-10 23:00:00,11110.0,11110.0,11110.0,11110.0,0.0
40,2020-02-11 23:00:00,11340.0,11340.0,11340.0,11340.0,0.0
41,2020-02-12 23:00:00,11170.0,11170.0,11170.0,11170.0,0.0
42,2020-02-13 23:00:00,11335.0,11335.0,11335.0,11335.0,0.0
43,2020-02-17 23:00:00,11095.0,11095.0,11095.0,11095.0,0.0
44,2020-02-18 23:00:00,11200.0,11200.0,11200.0,11200.0,0.0
45,2020-02-19 23:00:00,10500.0,10500.0,10500.0,10500.0,0.0
46,2020-02-20 23:00:00,10640.0,10640.0,10640.0,10640.0,0.0
47,2020-02-23 23:00:00,10480.0,10480.0,10480.0,10480.0,0.0
48,2020-02-24 23:00:00,10320.0,10320.0,10320.0,10320.0,1.0
49,2020-02-25 23:00:00,10300.0,10300.0,9715.0,9715.0,1.0
50,2020-02-26 15:00:00,10300.0,10300.0,10300.0,10300.0,1.0
51,2020-02-26 23:00:00,9780.0,9780.0,9780.0,9780.0,0.0
52,2020-02-27 23:00:00,9550.0,9550.0,9550.0,9550.0,0.0
53,2020-03-01 23:00:00,9845.0,9845.0,9845.0,9845.0,0.0
54,2020-03-02 23:00:00,9690.0,9690.0,9690.0,9690.0,0.0
55,2020-03-03 23:00:00,9660.0,9660.0,9660.0,9660.0,0.0
56,2020-03-04 23:00:00,10090.0,10090.0,10090.0,10090.0,1.0
57,2020-03-05 23:00:00,10015.0,10015.0,10015.0,10015.0,0.0
58,2020-03-08 22:00:00,8535.0,8535.0,8535.0,8535.0,0.0
59,2020-03-09 22:00:00,8680.0,8680.0,8680.0,8680.0,0.0
60,2020-03-10 22:00:00,8540.0,8540.0,8540.0,8540.0,0.0
61,2020-03-11 22:00:00,6630.0,6630.0,6630.0,6630.0,0.0
62,2020-03-12 22:00:00,6180.0,6180.0,5900.0,5900.0,1.0
63,2020-03-12 23:00:00,6180.0,6180.0,6180.0,6180.0,1.0
64,2020-03-15 22:00:00,5460.0,5460.0,5460.0,5460.0,0.0
65,2020-03-16 22:00:00,5955.0,5955.0,5955.0,5955.0,0.0
66,2020-03-17 22:00:00,5915.0,5915.0,5915.0,5915.0,0.0
67,2020-03-18 22:00:00,6500.0,6500.0,6500.0,6500.0,0.0
68,2020-03-19 22:00:00,6410.0,6410.0,6410.0,6410.0,0.0
69,2020-03-22 22:00:00,6490.0,6490.0,6490.0,6490.0,0.0
70,2020-03-23 22:00:00,6965.0,6965.0,6965.0,6965.0,0.0
71,2020-03-24 22:00:00,6870.0,6870.0,6870.0,6870.0,0.0
72,2020-03-25 22:00:00,6735.0,6890.0,6725.0,6890.0,2.0
73,2020-03-26 13:00:00,6735.0,6735.0,6725.0,6725.0,2.0
74,2020-03-26 22:00:00,6880.0,6880.0,6880.0,6880.0,0.0
75,2020-03-29 22:00:00,6580.0,6580.0,6580.0,6580.0,0.0
76,2020-03-30 22:00:00,6680.0,6680.0,6680.0,6680.0,0.0
77,2020-03-31 22:00:00,6405.0,6405.0,6405.0,6405.0,0.0
78,2020-04-01 22:00:00,7125.0,7125.0,7125.0,7125.0,0.0
79,2020-04-02 22:00:00,7060.0,7060.0,7060.0,7060.0,0.0
80,2020-04-05 22:00:00,7545.0,7545.0,7545.0,7545.0,0.0
81,2020-04-06 22:00:00,7545.0,7545.0,7545.0,7545.0,0.0
82,2020-04-07 22:00:00,7550.0,7550.0,7550.0,7550.0,0.0
83,2020-04-08 22:00:00,7490.0,7490.0,7490.0,7490.0,0.0
84,2020-04-12 22:00:00,6970.0,6970.0,6970.0,6970.0,0.0
85,2020-04-13 22:00:00,7120.0,7120.0,7120.0,7120.0,0.0
86,2020-04-14 22:00:00,7000.0,7000.0,6910.0,6910.0,2.0
87,2020-04-15 13:00:00,7000.0,7000.0,7000.0,7000.0,2.0
88,2020-04-15 22:00:00,7310.0,7310.0,7310.0,7310.0,0.0
89,2020-04-16 22:00:00,7285.0,7285.0,7285.0,7285.0,0.0
90,2020-04-19 22:00:00,7000.0,7000.0,7000.0,7000.0,0.0
91,2020-04-20 22:00:00,7085.0,7085.0,7085.0,7085.0,0.0
92,2020-04-21 22:00:00,7335.0,7335.0,7335.0,7335.0,0.0
93,2020-04-22 22:00:00,7810.0,7810.0,7810.0,7810.0,0.0
94,2020-04-23 22:00:00,7780.0,7780.0,7780.0,7780.0,0.0
95,2020-04-26 22:00:00,7945.0,7945.0,7945.0,7945.0,0.0
96,2020-04-27 22:00:00,7950.0,7950.0,7950.0,7950.0,0.0
97,2020-04-28 22:00:00,9025.0,9025.0,9025.0,9025.0,0.0
98,2020-04-29 22:00:00,9160.0,9160.0,9160.0,9160.0,0.0
99,2020-04-30 22:00:00,9020.0,9020.0,9020.0,9020.0,0.0
100,2020-05-03 22:00:00,9120.0,9120.0,9120.0,9120.0,0.0
101,2020-05-04 22:00:00,9160.0,9160.0,9160.0,9160.0,0.0
102,2020-05-05 22:00:00,9540.0,9540.0,9540.0,9540.0,0.0
103,2020-05-06 22:00:00,10270.0,10270.0,10215.0,10215.0,1.0
104,2020-05-07 18:00:00,10270.0,10270.0,10270.0,10270.0,1.0
105,2020-05-07 22:00:00,10255.0,10255.0,10255.0,10255.0,0.0
106,2020-05-10 22:00:00,9130.0,9130.0,9130.0,9130.0,0.0
107,2020-05-11 22:00:00,9190.0,9190.0,9190.0,9190.0,0.0
108,2020-05-12 22:00:00,9575.0,9575.0,9575.0,9575.0,0.0
109,2020-05-13 22:00:00,10120.0,10120.0,10120.0,10120.0,0.0
110,2020-05-14 22:00:00,9800.0,9800.0,9800.0,9800.0,2.0
111,2020-05-15 20:00:00,9800.0,9800.0,9800.0,9800.0,2.0
112,2020-05-17 22:00:00,10170.0,10170.0,10170.0,10170.0,0.0
