,Date,PX_LAST,contract_name,ltc Price,log return future,log return ltc
636,2018-11-16 21:00:00+00:00,5425.0,BTCZ18 Curncy,42.81397748137909,0.00369344833535173,0.0007111150655057614
637,2018-11-15 21:00:00+00:00,5405.0,BTCZ18 Curncy,42.78354263959765,0.009293747191459477,0.024461865879447084
638,2018-11-14 21:00:00+00:00,5355.0,BTCZ18 Curncy,41.74967408821021,-0.1593392765803952,-0.18848322011885113
639,2018-11-13 21:00:00+00:00,6280.0,BTCZ18 Curncy,50.4092588282417,-0.00634922767865878,-0.011034647995244075
640,2018-11-12 21:00:00+00:00,6320.0,BTCZ18 Curncy,50.96858757757177,-0.001581027997318818,-0.012043662529071669
641,2018-11-09 21:00:00+00:00,6330.0,BTCZ18 Curncy,51.5861474223941,-0.012559034776493797,-0.03706152380883762
642,2018-11-08 21:00:00+00:00,6410.0,BTCZ18 Curncy,53.53387865894801,-0.01394290596901275,-0.011492575746197223
643,2018-11-07 21:00:00+00:00,6500.0,BTCZ18 Curncy,54.15266975542124,0.013942905969012667,-0.014509054047371643
644,2018-11-06 21:00:00+00:00,6410.0,BTCZ18 Curncy,54.94410134575691,0.003907781448076,0.024432051947411045
645,2018-11-05 21:00:00+00:00,6385.0,BTCZ18 Curncy,53.61797022577635,0.006284388318151639,0.04310912008865865
646,2018-11-02 20:00:00+00:00,6345.0,BTCZ18 Curncy,51.3556601515952,0.006324131749468081,0.023971961220327763
647,2018-11-01 20:00:00+00:00,6305.0,BTCZ18 Curncy,50.13920294354151,0.002381898704533674,-0.0007121132635562801
648,2018-10-31 20:00:00+00:00,6290.0,BTCZ18 Curncy,50.17492045092774,0.007179927134808231,0.024340578033968975
649,2018-10-30 20:00:00+00:00,6245.0,BTCZ18 Curncy,48.96837743044205,0.0016025644455411972,-0.0008980610660695635
650,2018-10-29 20:00:00+00:00,6235.0,BTCZ18 Curncy,49.01237377642664,-0.02455568925744368,-0.06329598457167177
651,2018-10-26 20:00:00+00:00,6390.0,BTCZ18 Curncy,52.21494605780651,-0.0023446669592541345,-0.010619595649983535
652,2018-10-25 20:00:00+00:00,6405.0,BTCX18 Curncy,52.77240241341441,-0.0015600627189022275,-0.004228299588528553
653,2018-10-24 20:00:00+00:00,6415.0,BTCX18 Curncy,52.996012352580514,0.00390472967815626,0.003389114432163892
654,2018-10-23 20:00:00+00:00,6390.0,BTCX18 Curncy,52.81670681738449,0.0,0.026249872235903356
