,Date,rs,rf,rh,h
0,2021-05-27 20:00:00+00:00,0.0075316419209436,0.006582792406038,0.0012983258853636786,0.9469106195514347
1,2021-05-26 20:00:00+00:00,0.0311008702894088,0.0326430667787524,0.00019080370188150758,0.9469106195514347
2,2021-05-25 20:00:00+00:00,-0.06067673592544,-0.0622446157222066,-0.0017366482881843656,0.9469106195514347
3,2021-05-24 20:00:00+00:00,0.0934348433308863,0.0943300216439482,0.004112744093715051,0.9469106195514347
4,2021-05-21 20:00:00+00:00,-0.105785349940949,-0.1088085571403067,-0.002753371686723502,0.9469106195514347
0,2021-05-20 20:00:00+00:00,0.0186579969267048,0.0212907228088815,-0.001507178016263596,0.9471343516132961
1,2021-05-19 20:00:00+00:00,-0.0934764099190983,-0.0904653208639313,-0.007793596899149935,0.9471343516132961
2,2021-05-18 20:00:00+00:00,-0.0216123326866409,-0.0196937896817927,-0.002959667965567552,0.9471343516132961
3,2021-05-17 20:00:00+00:00,-0.1262865365163627,-0.1316446932912137,-0.0016013252926577876,0.9471343516132961
4,2021-05-14 20:00:00+00:00,0.0328265017052854,0.0368500039875044,-0.00207540292836695,0.9471343516132961
0,2021-05-13 20:00:00+00:00,-0.1156700174492234,-0.1196032473721272,-0.002405989478273085,0.9469979324102014
1,2021-05-12 20:00:00+00:00,-0.0388240976273924,-0.0423689719148536,0.001299231174319855,0.9469979324102014
2,2021-05-11 20:00:00+00:00,0.0163419024526464,0.0189470032696767,-0.0016008704691067611,0.9469979324102014
3,2021-05-10 20:00:00+00:00,-0.0331503874460086,-0.0359908941145356,0.0009329148660510919,0.9469979324102014
4,2021-05-07 20:00:00+00:00,0.0252603613250205,0.0263839887033625,0.00027477857420210236,0.9469979324102014
0,2021-05-06 20:00:00+00:00,-0.017351781755984,-0.0192018525217622,0.0008517503623649732,0.9480091620179985
1,2021-05-05 20:00:00+00:00,0.046689479097158,0.0504024053813606,-0.001092462992117113,0.9480091620179985
2,2021-05-04 20:00:00+00:00,-0.0539178808048488,-0.0593935613094369,0.002387759481375089,0.9480091620179985
3,2021-05-03 20:00:00+00:00,0.0094627215046681,0.0095123512143707,0.00044492540111164096,0.9480091620179985
4,2021-04-30 20:00:00+00:00,0.0757435975764084,0.0820866754207396,-0.002075322802050375,0.9480091620179985
0,2021-04-29 20:00:00+00:00,-0.047242292484354,-0.0494098012974383,-0.0004360970119764926,0.9473058835151442
1,2021-04-28 20:00:00+00:00,0.0115163053727011,0.0130118398563282,-0.0008098870785554525,0.9473058835151442
2,2021-04-27 20:00:00+00:00,0.0136228116988636,0.0118940102983315,0.002355545764664454,0.9473058835151442
3,2021-04-26 20:00:00+00:00,0.0600138071718341,0.0622769295215145,0.0010185054288454343,0.9473058835151442
4,2021-04-23 20:00:00+00:00,-0.0387989898757774,-0.038809980592807,-0.0020340669211027645,0.9473058835151442
0,2021-04-22 20:00:00+00:00,-0.0474661753376794,-0.0532982556894824,0.0029551316191349514,0.9460217094264912
1,2021-04-21 20:00:00+00:00,-0.0204454611347472,-0.0196379597053674,-0.001867524924626978,0.9460217094264912
2,2021-04-20 20:00:00+00:00,0.0124358069003733,0.0095938772214273,0.0033597907713307697,0.9460217094264912
3,2021-04-19 20:00:00+00:00,-0.0989434228696432,-0.0983847957924487,-0.005869270172494612,0.9460217094264912
4,2021-04-16 20:00:00+00:00,-0.0268242744526563,-0.0303926775383929,0.0019278583062622735,0.9460217094264912
0,2021-04-15 20:00:00+00:00,0.0204073870576528,0.0223297272189313,-0.0007140101044262881,0.9458869315775708
1,2021-04-14 20:00:00+00:00,-0.0136675586588078,-0.0196825752526951,0.004949932052508599,0.9458869315775708
2,2021-04-13 20:00:00+00:00,0.0477747008666572,0.0501163725785027,0.00037027898657897296,0.9458869315775708
3,2021-04-12 20:00:00+00:00,0.0285859045881432,0.030881808175611,-0.0006247941886526297,0.9458869315775708
4,2021-04-09 20:00:00+00:00,0.0108417017594452,0.0101963666970122,0.0011970917511686004,0.9458869315775708
0,2021-04-08 20:00:00+00:00,0.0280992614561851,0.0325507191191601,-0.0027134074064053305,0.9466048583993768
1,2021-04-07 20:00:00+00:00,-0.0365297334548058,-0.0448583056182188,0.005933356582964171,0.9466048583993768
2,2021-04-06 20:00:00+00:00,-0.0132283485428273,-0.0193823945737203,0.005119120328070057,0.9466048583993768
3,2021-04-05 20:00:00+00:00,0.0026188755774354,0.0049767853219897,-0.0020921735875707565,0.9466048583993768
4,2021-04-02 20:00:00+00:00,-0.0011435816484278,0.0,-0.0011435816484278,0.9466048583993768
0,2021-04-01 20:00:00+00:00,0.0059106813943638,0.0038323799300737,0.0022823241591371,0.9467634476305495
1,2021-03-31 20:00:00+00:00,-0.008540805967355,-0.0052449855910395,-0.0035750453264098876,0.9467634476305495
2,2021-03-30 20:00:00+00:00,0.0238945517804037,0.0255669463819577,-0.00031129852156397755,0.9467634476305495
3,2021-03-29 20:00:00+00:00,0.0697912432617298,0.0714968252018487,0.0021006625389887595,0.9467634476305495
4,2021-03-26 20:00:00+00:00,0.0300309592313597,0.0418557125064962,-0.009596499444323756,0.9467634476305495
0,2021-03-25 20:00:00+00:00,-0.0474419456498406,-0.0479674761149589,-0.002009035750794884,0.947160734289233
1,2021-03-24 20:00:00+00:00,-0.0049836389770488,-0.0048083558280386,-0.000429353140239847,0.947160734289233
2,2021-03-23 20:00:00+00:00,-0.0095928748786552,-0.0142878829036679,0.003940046783821465,0.947160734289233
3,2021-03-22 20:00:00+00:00,-0.0577551058158179,-0.0636012512021833,0.0024855019745559925,0.947160734289233
