,Date,rh,rs,rf,h,copula
0,2021-05-27 20:00:00+00:00,0.0013487027255067374,0.0075316419209436,0.006582792406038,0.9392578125,t_Copula
1,2021-05-26 20:00:00+00:00,0.00044061479350640184,0.0311008702894088,0.0326430667787524,0.9392578125,t_Copula
2,2021-05-25 20:00:00+00:00,-0.0022129943222971155,-0.06067673592544,-0.0622446157222066,0.9392578125,t_Copula
3,2021-05-24 20:00:00+00:00,0.004834633548513864,0.0934348433308863,0.0943300216439482,0.9392578125,t_Copula
4,2021-05-21 20:00:00+00:00,-0.003586062580063276,-0.105785349940949,-0.1088085571403067,0.9392578125,t_Copula
0,2021-05-20 20:00:00+00:00,-0.0016243273897638584,0.0186579969267048,0.0212907228088815,0.95263671875,t_Copula
1,2021-05-19 20:00:00+00:00,-0.0072958234906168595,-0.0934764099190983,-0.0904653208639313,0.95263671875,t_Copula
2,2021-05-18 20:00:00+00:00,-0.002851305504425295,-0.0216123326866409,-0.0196937896817927,0.95263671875,t_Copula
3,2021-05-17 20:00:00+00:00,-0.0008769678585707485,-0.1262865365163627,-0.1316446932912137,0.95263671875,t_Copula
4,2021-05-14 20:00:00+00:00,-0.0022781651792952023,0.0328265017052854,0.0368500039875044,0.95263671875,t_Copula
0,2021-05-13 20:00:00+00:00,-0.003810613144256375,-0.1156700174492234,-0.1196032473721272,0.93525390625,t_Copula
1,2021-05-12 20:00:00+00:00,0.0008016488597709787,-0.0388240976273924,-0.0423689719148536,0.93525390625,t_Copula
2,2021-05-11 20:00:00+00:00,-0.0013783563670502555,0.0163419024526464,0.0189470032696767,0.93525390625,t_Copula
3,2021-05-10 20:00:00+00:00,0.0005102368640409541,-0.0331503874460086,-0.0359908941145356,0.93525390625,t_Copula
4,2021-05-07 20:00:00+00:00,0.0005846328277448465,0.0252603613250205,0.0263839887033625,0.93525390625,t_Copula
0,2021-05-06 20:00:00+00:00,0.0009012292251520601,-0.017351781755984,-0.0192018525217622,0.9505859375,t_Copula
1,2021-05-05 20:00:00+00:00,-0.0012223386745377068,0.046689479097158,0.0504024053813606,0.9505859375,t_Copula
2,2021-05-04 20:00:00+00:00,0.0025408033539459987,-0.0539178808048488,-0.0593935613094369,0.9505859375,t_Copula
3,2021-05-03 20:00:00+00:00,0.00042041420772626417,0.0094627215046681,0.0095123512143707,0.9505859375,t_Copula
4,2021-04-30 20:00:00+00:00,-0.002286841734673542,0.0757435975764084,0.0820866754207396,0.9505859375,t_Copula
0,2021-04-29 20:00:00+00:00,-0.00014857562273312003,-0.047242292484354,-0.0494098012974383,0.953125,t_Copula
1,2021-04-28 20:00:00+00:00,-0.0008856044903617147,0.0115163053727011,0.0130118398563282,0.953125,t_Copula
2,2021-04-27 20:00:00+00:00,0.002286333133266389,0.0136228116988636,0.0118940102983315,0.953125,t_Copula
3,2021-04-26 20:00:00+00:00,0.00065610872164059,0.0600138071718341,0.0622769295215145,0.953125,t_Copula
4,2021-04-23 20:00:00+00:00,-0.0018082271232582325,-0.0387989898757774,-0.038809980592807,0.953125,t_Copula
0,2021-04-22 20:00:00+00:00,0.0026831111435864988,-0.0474661753376794,-0.0532982556894824,0.9409179687499998,t_Copula
1,2021-04-21 20:00:00+00:00,-0.0019677519783785624,-0.0204454611347472,-0.0196379597053674,0.9409179687499998,t_Copula
2,2021-04-20 20:00:00+00:00,0.0034087554327510323,0.0124358069003733,0.0095938772214273,0.9409179687499998,t_Copula
3,2021-04-19 20:00:00+00:00,-0.006371400656728837,-0.0989434228696432,-0.0983847957924487,0.9409179687499998,t_Copula
4,2021-04-16 20:00:00+00:00,0.0017727419616420902,-0.0268242744526563,-0.0303926775383929,0.9409179687499998,t_Copula
0,2021-04-15 20:00:00+00:00,-0.0009846660690772807,0.0204073870576528,0.0223297272189313,0.9580078125,t_Copula
1,2021-04-14 20:00:00+00:00,0.005188502203393269,-0.0136675586588078,-0.0196825752526951,0.9580078125,t_Copula
2,2021-04-13 20:00:00+00:00,-0.00023717559770915914,0.0477747008666572,0.0501163725785027,0.9580078125,t_Copula
3,2021-04-12 20:00:00+00:00,-0.0009991089082185128,0.0285859045881432,0.030881808175611,0.9580078125,t_Copula
4,2021-04-09 20:00:00+00:00,0.0010735028045926916,0.0108417017594452,0.0101963666970122,0.9580078125,t_Copula
0,2021-04-08 20:00:00+00:00,-0.002369356000567785,0.0280992614561851,0.0325507191191601,0.93603515625,t_Copula
1,2021-04-07 20:00:00+00:00,0.005459217653653883,-0.0365297334548058,-0.0448583056182188,0.93603515625,t_Copula
2,2021-04-06 20:00:00+00:00,0.0049142541904841335,-0.0132283485428273,-0.0193823945737203,0.93603515625,t_Copula
3,2021-04-05 20:00:00+00:00,-0.0020395704490559353,0.0026188755774354,0.0049767853219897,0.93603515625,t_Copula
4,2021-04-02 20:00:00+00:00,-0.0011435816484278,-0.0011435816484278,0.0,0.93603515625,t_Copula
0,2021-04-01 20:00:00+00:00,0.0022815223922227194,0.0059106813943638,0.0038323799300737,0.94697265625,t_Copula
1,2021-03-31 20:00:00+00:00,-0.003573948030215348,-0.008540805967355,-0.0052449855910395,0.94697265625,t_Copula
2,2021-03-30 20:00:00+00:00,-0.00031664734712011366,0.0238945517804037,0.0255669463819577,0.94697265625,t_Copula
3,2021-03-29 20:00:00+00:00,0.0020857047868931833,0.0697912432617298,0.0714968252018487,0.94697265625,t_Copula
4,2021-03-26 20:00:00+00:00,-0.009605256020153354,0.0300309592313597,0.0418557125064962,0.94697265625,t_Copula
