SP,SPF
0.000861493,0.001002953
-0.000199028,-0.000274773
0,0
-0.000459893,0.000161652
0.000343347,-0.000274844
0.000795779,4.85E-05
-0.00225688,-0.00157139
0,0
0.003591223,0.002734117
0.002770118,0.002893271
0.001746111,0.002061718
0.003044047,0.002987256
0.000721338,0.000664567
0.000565475,0.000868731
-0.000483294,-0.000268331
0.003043969,0.002973931
0.002921478,0.003000427
0,0
-0.001533359,-0.000951016
0.004069755,0.003280761
-0.000702553,-0.00116331
0.001900317,0.002292614
0.003489292,0.003722855
0.000943303,0.000673467
-0.000243286,0.000214066
0.000261642,3.06E-05
0.00511234,0.005060507
-0.002933531,-0.003169217
-0.004759263,-0.004451517
0.000212292,0.000199842
-0.00028154,-0.000522857
-0.009309817,-0.010229057
-0.018171993,-0.024131879
0.007509208,0.014188324
-0.002177616,-0.004227571
-0.01661571,-0.012348873
0.006438688,0.004282574
0.006001378,0.005945159
0.001133311,0.001061865
0.005781963,0.005705739
0.00521016,0.005917782
0.000162162,0.000174706
0,0
-0.002544328,-0.003331486
-0.002393696,-0.002471236
0.000422621,0.002055
0.006905823,0.005933533
0.005076217,0.005588483
-0.005553882,-0.005793924
-0.004845781,-0.005263854
-0.005825586,-0.005830841
0.00219699,0.001941563
0.004764922,0.004528793
0.001144504,0.000877798
-0.000210184,-9.57E-05
0.00193399,0.002544111
0.007482682,0.007014033
-0.00055363,3.12E-05
-0.002772503,-0.002440302
-0.002493259,-0.002959214
-0.000339736,0.000299987
0.000739179,0.000678154
-0.00621302,-0.005247713
0.00064306,0.000127584
-0.000801572,-0.00084594
-0.011067947,-0.012150929
-0.009202628,-0.007540743
0.011636932,0.010194282
-0.007568585,-0.007212062
-0.001268519,-0.00134696
0.005939295,0.005856191
0,0
-0.00981097,-0.01131993
0.005444287,0.006395416
0.004994433,0.005581292
0.002970299,0.002421479
-0.009625713,-0.009251008
0.001446642,0.002227668
0.007204303,0.005928802
-0.00240626,-0.002296038
0.003568546,0.003749375
-0.001255468,-0.001093633
0.003507502,0.003969604
0.004605756,0.004013885
0.000360908,0.000497134
-0.00249397,-0.002668731
-0.003723285,-0.003481045
2.44E-05,-4.88E-05
-0.005850336,-0.005892602
0.000797119,0.001513509
0.004508033,0.004915269
0.000483377,-0.000519919
-0.003570441,-0.00398498
0.001105628,0.000852329
-0.003140776,-0.004080075
-0.000979872,0.000726687
0.005528496,0.005134592
0.001499182,0.001123787
-0.000115388,4.88E-05
0.00418469,0.004159832
0.004050665,0.003641399
0.000740982,0.0017059
0.000383539,0.00023861
-0.002981727,-0.003496792
0.001759907,0.002222687
-0.000371847,-0.000670405
-0.001144669,-0.000911493
0.003196229,0.003205728
-0.001363973,-0.001113739
0.001408465,0.000732208
-0.000879556,-0.000493309
-0.001024947,-0.001483297
0,0
-0.005051533,-0.004190065
0.005479021,0.005195432
-0.002998081,-0.003055214
0.004686369,0.004519201
0.00194112,0.001854709
0.000305036,0.000963853
0.003704915,0.003239258
-0.000310282,0
0.001355459,0.001032731
0.000463891,0.000655916
0.000756468,0.000140425
-0.001752021,-0.001500209
0.001072039,0.001390994
-0.000441935,0.000187209
-0.000924362,-0.000733698
-0.00175088,-0.00211435
0.000742946,0.000909649
-0.002764592,-0.003065898
0.000807896,0.001103071
-0.006001859,-0.005894415
0.000956383,0.000987975
-0.003752965,-0.003772744
0.002675087,0.002337849
0.000329236,0.000335233
0.001330382,0.000908616
-0.002153941,-0.002235098
0,0
0.0037279,0.004030789
0.003667848,0.003836563
0.003814992,0.003834129
0.001505781,0.001446587
-0.003091943,-0.00352377
0.003783133,0.003803199
0.000468451,0.000728773
-0.000446724,-0.001039261
0.001722317,0.002292369
0.000937276,0.000725458
-0.001720146,-0.001653339
-0.000412115,-0.000697214
0.000797537,0.001733219
0.002071388,0.00138777
0.003934871,0.003114005
-0.001318891,0.000183382
-0.002859343,-0.003836549
-0.002506227,-0.00220984
0.002116255,0.002148179
-0.000452065,-0.000972319
0.002134296,0.002710884
0.002012255,0.001701044
0.00153395,0.001618225
0.001224791,0.001460377
-0.000113965,-0.00066873
-0.000626582,-0.000228212
-0.003100557,-0.002594815
-0.001743259,-0.001733407
0.002765987,0.002375922
-0.003314216,-0.003037359
0.003425835,0.003602598
0.001440827,0.001143503
0.001053171,0.000973414
0.000897439,0.000470714
-0.000172966,-7.59E-05
-0.000735114,-0.000485992
0.002683818,0.002832349
0.003318498,0.003263748
0.000116926,0.000134835
0.002469067,0.002300705
-0.001928319,-0.001896453
5.84E-05,1.50E-05
0,0
-0.000719051,-0.000569036
-0.001219111,-0.001501037
-0.001589072,-0.001385551
-0.000962291,-0.000664221
0.000823442,0.000845195
0.001621161,0.001430062
0.000154869,-0.00021045
0.002288015,0.002533648
0.000119616,0.000149458
-0.002425671,-0.00229235
0.002325495,0.002322236
0.000543965,0.000507737
0.003391839,0.003596847
-0.00016007,-5.92E-05
-0.001529563,-0.001230444
-0.000567158,-0.000609098
-0.001430857,-0.001459364
0.001198421,0.001251184
-2.98E-06,-0.000133883
0.001578424,0.001648347
-0.000172291,-0.000237214
0.000308888,0.000459485
-0.003562548,-0.003555117
-0.002407425,-0.002036063
-0.00017161,-6.00E-05
-0.000616248,-0.000826241
-0.014512529,-0.016410659
-0.009027961,-0.005610976
0.006126297,0.003623211
-0.002572126,-0.003038303
0.009236519,0.010719627
-0.00010975,-0.000246671
-0.006295756,-0.006838935
-0.000156882,-0.00073693
-0.001871264,-0.001729633
-0.002400388,-0.001625834
-0.013615493,-0.013149038
0.008014353,0.003878452
-0.007591073,-0.003015383
-0.002858192,-0.00425045
0.006751267,0.006797069
0.00468727,0.004152725
0.004561157,0.004303768
-0.002751994,-0.002194375
0.002425402,0.002432227
0.002709922,0.003064543
0.009114581,0.008942635
-0.001091006,-0.001188981
-0.004013559,-0.004632435
-0.008641651,-0.008060394
-0.000644061,-3.18E-05
-0.003299006,-0.004642166
0.00457663,0.005739412
0.000964487,0.001332047
-0.007288828,-0.007441763
-0.00795539,-0.009180736
0.001319671,0.001494482
0,0
-0.002856124,-0.003208783
0.006693788,0.00662182
0.001414234,0.002206604
0.009864568,0.009286651
-0.000955495,0.00042751
0.003540457,0.002225739
0.004725963,0.005071653
-0.014288379,-0.01407603
0,0
-0.000661582,-0.001707287
-0.010247779,-0.00898443
0.000764638,0.001168189
-0.000154796,-0.000312306
0.002347299,0.001837731
-8.68E-05,-0.001114837
-0.008369367,-0.00721689
-0.009116832,-0.008341541
3.75E-05,-0.002850753
-0.006738287,-0.005619447
-0.006904324,-0.003046838
-0.009034715,-0.012801409
-0.011937264,-0.013116047
0,0
0.02102126,0.023323913
0.003702872,0.004197974
-0.000539532,-0.001552019
0.003672647,0.003341279
0,0
0.000550564,0.00100431
-0.010887014,-0.011088525
0.014661512,0.014585431
0.003033971,0.003298736
0.004190333,0.003696146
0.001776113,0.001718646
0.001957916,0.001929567
-6.36E-05,0.000167384
-0.002289354,-0.002450234
0.004631595,0.004170545
0.000963917,0.001298241
0.003284475,0.003640932
0.005687917,0.005957853
0,0
-0.006192368,-0.006502051
0.000955653,0.001054793
0.000597039,-0.000708407
0.003671045,0.00483693
-0.003421289,-0.003536326
-0.000632885,-0.000263099
0.006700987,0.006886455
0.003717835,0.003547255
0.000390097,-4.82E-05
0.002932942,0.002721654
0.002040068,0.00157714
-0.000967162,-0.000270415
-0.004082877,-0.004044439
0.000293598,0.000353189
0.000307824,0.000320832
0.005562391,0.005813935
0.001311315,0.000758814
-0.001153115,-0.000980385
0.00469905,0.005302384
0,0
0.000650422,0.000250143
0.000771114,0.001295308
-0.001534208,-0.001999201
0.002775413,0.002653189
0.000534633,0.000917037
-0.000343395,-0.000870361
-0.000236339,0.000559718
-0.001228856,-0.001618935
0.00298433,0.003154451
-0.001688602,-0.002079676
-0.000491672,-1.56E-05
-0.002842671,-0.00313842
-0.003543367,-0.003366519
-0.00092679,-0.000474034
0.006323129,0.005810572
0.001280724,0.001261738
0.003007742,0.003470284
-0.00037715,-0.001112427
0.002159538,0.003466917
0.001606503,0.00165434
-5.67E-05,-0.000627295
-0.001280589,-0.001456979
0.004687796,0.005434858
-0.008319716,-0.007946173
-0.000364558,-0.000572081
0.003108291,0.002468466
-0.002021727,-0.001927289
0.001556128,0.001619497
0.002914863,0.002578698
0.004995334,0.004975767
7.57E-06,-0.00051471
0.000932041,0.001919487
0.000904405,0.000437121
0.002008909,0.001999109
0.000454664,0.000344779
-0.002643096,-0.002358955
0.001507798,0.001789172
1.65E-05,-0.000405301
0.002860972,0.003097681
-0.000273442,-0.000447573
0.000221158,0.000283516
-0.000988612,-0.001643981
0.000685238,0.001420168
0,0
0.0004393,0.000402781
0.003822818,0.003785728
-0.000952925,-0.00108039
-0.000160261,-0.000667336
0.00203005,0.002250005
0.000465085,0.000206652
0.000412992,0.000825627
-0.003270417,-0.003757459
-0.000923422,-0.000817923
0.004165827,0.004442798
-0.001946091,-0.002245337
-0.007230792,-0.006205165
-0.000697768,-0.000541177
-0.001314182,-0.002186595
0.001612717,0.002141466
-0.010608314,-0.012173856
0.003467433,0.004938102
0.002528452,0.002410126
0.003846077,0.003575208
-0.002542544,-0.002511692
-0.002941147,-0.002755308
0.00367409,0.003377018
-0.001228342,-0.001320299
-0.005205316,-0.005814345
0.000587435,0.001905882
0,0
-0.003652804,-0.004114229
-0.003012247,-0.00388793
0.000910386,0.001606046
-0.005768815,-0.005923358
-0.001202575,-0.000473586
0.009209606,0.008647863
0.003530279,0.003515949
0.002656497,0.002755782
0.004535313,0.004433629
0.002019147,0.002154863
-0.000151976,-0.000345866
-0.00088583,-0.000888482
0.001775864,0.002015291
-0.000700448,-0.000570551
0.000404474,0.000195273
0.004199829,0.004452349
0.001294515,0.001098578
0.004094361,0.003926153
-0.000547222,-0.000750014
-0.000752821,0.000220727
-0.004143909,-0.004435991
-0.000536243,-0.00062467
0.001657234,0.001930597
0.002493246,0.001966307
0.003319311,0.003452688
0.001269821,0.001737969
0.003319346,0.003006716
0,0
-0.000784979,-0.001435398
-0.002105106,-0.001717099
0.000536708,0.000510018
0.001954536,0.0022225
0.000991352,0.000940768
0.00200188,0.00165946
7.64E-05,0.000273562
-0.001480762,-0.001485065
-0.002845769,-0.003189093
0.001552835,0.001829345
-0.002690841,-0.003009434
0.001226764,0.001761669
0.002963697,0.002751917
0.002031266,0.00195914
-0.002291447,-0.002175764
0.003196613,0.002592381
-0.000702418,-0.000387872
-0.001121336,-0.001367495
-0.004753436,-0.004346893
-0.003925843,-0.004449687
-0.003174426,-0.00287843
-0.013128793,-0.015421429
0.005616736,0.0069871
0.000332928,0.000694075
0.008072851,0.008879146
-0.002883077,-0.003023872
-0.005224411,-0.005900505
0.006364208,0.007726242
-0.012911733,-0.013738595
0.001068902,0.001206099
0.00622045,0.006491727
0.005225946,0.004809611
-0.003451013,-0.003804456
0.003566863,0.004620673
-0.000219844,-0.001024227
-0.01141714,-0.010027425
0.004743882,0.004192459
-0.001393361,-0.002704575
0.002833399,0.00368253
0.00547534,0.005510421
0.000279087,-0.000282034
0,0
-0.003006633,-0.002815509
0.004683311,0.00484503
0.005613657,0.00492311
0.000395297,0.001284032
-4.08E-05,-0.000378978
0.000139958,4.37E-05
0.003128509,0.003413083
0.001248584,0.001415441
-0.000314698,-0.000779366
-0.001363917,-0.001055816
0.001119797,0.000911335
0.0001488,0.000130035
8.67E-06,-4.33E-05
-0.002131347,-0.002390418
-4.21E-05,0.001102676
-0.003670662,-0.00391554
0.002666429,0.002347741
-0.001056148,-0.000844308
-0.00231501,-0.002440232
0.002186641,0.002148711
-0.005356645,-0.005975378
-0.007845722,-0.00853927
0.003448464,0.004678585
0.006130823,0.005807668
-0.001949271,-0.001991334
-0.006811113,-0.006689493
0.003936163,0.003930835
0.002777404,0.003290575
0.004724921,0.004363624
-0.000602819,-0.000775487
0.00430231,0.00469024
-0.000869261,-0.000913679
0.001198227,0.000942653
-0.001705494,-0.001407481
0.002974095,0.002651547
-0.001552627,-0.001736891
0.00123474,0.001621314
0.000833237,-0.00021679
0.001765158,0.002321241
0.002417223,0.002294597
-0.000361655,-8.58E-05
0.001410609,0.001727614
-0.001314805,-0.001713308
0.004176166,0.003902197
0.001605678,0.001768619
-0.000515262,-0.000536899
0.000304996,0.000522778
0.001184063,0.001451996
0.001110645,0.000660952
-0.000853116,-0.0004499
0.000678975,0.000632539
0.000308913,0.000519399
0.000363393,0.000182344
0.003329303,0.002990713
0.000218452,0.000487182
-0.000257423,-0.000459328
-0.001634366,-0.001325026
-0.000687936,-0.000713001
0.000943537,0.001076042
0.003248218,0.002935044
0.000952461,0.001522288
0.001809175,0.001393054
0,0
-0.001745567,-0.001393054
-0.003764694,-0.004094595
-0.002892476,-0.003233445
0.002737635,0.002800916
0.000651073,0.000920352
0.003949583,0.0039382
-0.001375779,-0.001604249
-0.000476662,0.00020778
0.001261183,0.000982145
0.003708271,0.003413265
3.15E-05,0.000561715
0.003093215,0.003042523
0.000145582,-0.000326425
-0.000187769,0.000394399
0.00193231,0.001668826
0.002142219,0.002511472
0.000375993,0.000201907
-8.49E-05,-0.000201907
0,0
0.002221439,0.002510419
1.47E-05,-0.000911201
-0.002517867,-0.00190899
0.001277561,0.001036198
