,Last Price_btc,Open Price_btc,High Price_btc,Low Price_btc,BTC1 Curncy - Volume,Last Price_brr,Open Price_brr,High Price_brr,Low Price_brr,price_crix,return_btc,return_brr,return_crix
2020-09-04,10480,10730.0,10740.0,10355.0,13711.0,10273.83,10273.83,10273.83,10273.83,29614.3149015081,-0.022642476749759777,-0.05645189302836185,-0.10975355771293888
2020-09-03,10720,11710.0,11710.0,10840.0,15412.0,10870.49,10870.49,10870.49,10870.49,33049.664457623,-0.06675155564393763,-0.04096177605691657,-0.04651363512321924
2020-09-02,11460,12405.0,12405.0,11530.0,17210.0,11325.01,11325.01,11325.01,11325.01,34623.2370885509,-0.05227448825204289,-0.04636523758895043,0.023061181070938176
2020-09-01,12075,12050.0,12450.0,12050.0,8919.0,11862.46,11862.46,11862.46,11862.46,33833.9206146075,0.020075956572689225,0.012073475424192001,-0.00143401410918042
2020-08-31,11835,11735.0,11915.0,11705.0,4865.0,11720.1,11720.1,11720.1,11720.1,33882.4737387499,0.017473276435374302,0.023397685975360964,0.03348364499387261
2020-08-28,11630,11420.0,11700.0,11370.0,7783.0,11449.06,11449.06,11449.06,11449.06,32766.7485297178,0.025251668230967125,0.010991211063896123,-0.015183547919215837
2020-08-27,11340,11620.0,11740.0,11205.0,4740.0,11323.91,11323.91,11323.91,11323.91,33268.0602403644,-0.025251668230966987,-0.012726964298472882,0.0074873987670429284
2020-08-26,11630,11415.0,11715.0,11395.0,2732.0,11468.95,11468.95,11468.95,11468.95,33019.8992067953,0.016471980578921276,0.006092311035717556,-0.029176793317324385
2020-08-25,11440,11935.0,11975.0,11260.0,2883.0,11399.29,11399.29,11399.29,11399.29,33997.5063512139,-0.04277812201280418,-0.03138328534045941,0.0076537235330018235
2020-08-24,11940,11850.0,12015.0,11750.0,2090.0,11762.71,11762.71,11762.71,11762.71,33738.2920793618,0.0067227143948767375,0.0036529324304805885,-0.01381834160680809
2020-08-21,11860,12155.0,12155.0,11770.0,1558.0,11719.82,11719.82,11719.82,11719.82,34207.735318207,-0.01630811806355497,-0.009003850913498954,0.01113005803981934
2020-08-20,12055,11925.0,12110.0,11880.0,734.0,11825.82,11825.82,11825.82,11825.82,33829.1121959551,0.017573674022385504,-0.0020012399325762616,-0.023816405004139528
2020-08-19,11845,12270.0,12295.0,11745.0,1046.0,11849.51,11849.51,11849.51,11849.51,34644.4709497333,-0.028710105882431367,-0.01235093037425848,-0.022734457194753314
2020-08-18,12190,12625.0,12660.0,12015.0,1310.0,11996.77,11996.77,11996.77,11996.77,35441.1155203014,-0.0350630316682434,-0.013986357746635855,0.020297685599405226
2020-08-17,12625,12085.0,12770.0,12025.0,1010.0,12165.74,12165.74,12165.74,12165.74,34728.9945530132,0.047444535280748594,0.03905547586331369,0.020472881117422816
2020-08-14,12040,11900.0,12105.0,11875.0,938.0,11699.76,11699.76,11699.76,11699.76,34025.2206968564,0.028218338937800954,0.015450687937980446,0.028067832107171793
2020-08-13,11705,11765.0,11855.0,11465.0,709.0,11520.38,11520.38,11520.38,11520.38,33083.4845848827,-0.005537820329311236,-0.004335929034004002,0.0158469330639531
2020-08-12,11770,11485.0,11835.0,11340.0,604.0,11570.44,11570.44,11570.44,11570.44,32563.3450126077,0.018868484304382736,-0.0014103601173763366,-0.03505242532465079
2020-08-11,11550,12035.0,12185.0,11325.0,1558.0,11586.77,11586.77,11586.77,11586.77,33725.0098777458,-0.04775891730068647,-0.029207394023206542,0.014237237086184948
2020-08-10,12115,11870.0,12330.0,11815.0,908.0,11930.18,11930.18,11930.18,11930.18,33248.2607644775,0.035710578784512004,0.025264980636922445,-0.0041895151372305876
2020-08-07,11690,11980.0,12180.0,11515.0,1316.0,11632.54,11632.54,11632.54,11632.54,33387.8470514995,-0.03612320515719131,-0.018433756644108883,0.0016614002698185203
2020-08-06,12120,12005.0,12170.0,11855.0,764.0,11848.96,11848.96,11848.96,11848.96,33332.422527308,0.01580074453134367,0.019861807236756037,0.03680412447635743
2020-08-05,11930,11500.0,12035.0,11310.0,1248.0,11615.94,11615.94,11615.94,11615.94,32127.9525861844,0.03844984521840445,0.039690247279492274,0.0017315987504082412
2020-08-04,11480,11625.0,11655.0,11230.0,624.0,11163.93,11163.93,11163.93,11163.93,32072.3680026196,-0.018555009144722044,-0.013094730784909572,0.022403621798659658
2020-08-03,11695,11455.0,11785.0,11260.0,787.0,11311.08,11311.08,11311.08,11311.08,31361.8199444268,-0.00042744176756808513,0.009198686978554138,0.017648804835181827
2020-07-31,11700,11415.0,11850.0,11290.0,1344.0,11207.51,11207.51,11207.51,11207.51,30813.1769920296,0.022472855852058576,0.020398458932637815,0.010006699918978552
2020-07-30,11440,11670.0,11670.0,11145.0,517.0,10981.21,10981.21,10981.21,10981.21,30506.3763673079,-0.007836348329315861,-0.014827767795848695,0.015127364229881996
2020-07-29,11530,11235.0,11620.0,11165.0,494.0,11145.25,11145.25,11145.25,11145.25,30048.3682624494,0.018823055195466867,0.0028528126272334355,0.0005383419104029017
2020-07-28,11315,11485.0,11730.0,11000.0,1311.0,11113.5,11113.5,11113.5,11113.5,30032.1963198823,0.015138312247668552,0.06985995380944401,0.0817598573199373
